   10   21
        0.0081560006        0.0000000193       -0.0007244455
        0.0000000398        0.0000002041        0.0000000750
        0.0000001899        0.0000001040        0.0000001796
        0.0000000591        0.0000002046        0.0000002899
       -0.0000000460        0.0000000540        0.0058106349
        0.0000001847        0.0000002245        0.0000001398
        0.0000001245        0.0000001398        0.0000001546
        0.0000000193        0.0085400006        0.0000000352
        0.0009809901        0.0000000142        0.0000001199
        0.0000002797        0.0000000642        0.0000001296
        0.0000002393        0.0000002046        0.0000002399
       -0.0000000205       -0.0056288360        0.0000000347
        0.0000002348        0.0000001398        0.0000001296
        0.0000000642        0.0000001995        0.0000000347
       -0.0007244455        0.0000000352        0.0068822897
       -0.0000000199        0.0000000404        0.0000002859
        0.0000003598        0.0000000000        0.0000000904
        0.0000001853        0.0000003047        0.0000002802
        0.0000003098       -0.0000001097       -0.0007688703
        0.0000001006        0.0000000904        0.0000001103
        0.0000001046        0.0000001802        0.0000001057
        0.0000000398        0.0009809901       -0.0000000199
        0.0114450199        0.0000003001        0.0000002450
        0.0000000193        0.0000000892        0.0000003348
        0.0000001296        0.0000003246        0.0000004002
       -0.0000000051       -0.0066556851        0.0000000244
        0.0000003052        0.0000001245        0.0000001552
        0.0000000944        0.0000002245        0.0000001506
        0.0000002041        0.0000000142        0.0000000404
        0.0000003001        0.2681173601        0.0000014353
        0.0545616450        0.0000061050        0.0000030496
        0.0133339097        0.0000044048        0.0218993904
        0.0094212999        0.0000000193        0.0000004400
        0.0000042155        0.0675349344        0.0000029655
        0.0000011346       -0.1057375999        0.0000031298
        0.0000000750        0.0000001199        0.0000002859
        0.0000002450        0.0000014353        0.2454750393
        0.0000017951       -0.0199458202       -0.0124884997
        0.0000019253        0.0469549855        0.0000027256
        0.0000015950        0.0000003797        0.0000006702
        0.0610217757        0.0000015501       -0.0191962295
       -0.0693387051        0.0000012898       -0.0288038842
        0.0000001899        0.0000002797        0.0000003598
        0.0000000193        0.0545616450        0.0000017951
        0.2785878303        0.0000044190        0.0000049653
       -0.0689239653        0.0000040046        0.0773301406
        0.0252586545        0.0000004542        0.0000002296
        0.0000033555       -0.0262086650        0.0000041553
        0.0000015496       -0.0677526054        0.0000026148
        0.0000001040        0.0000000642        0.0000000000
        0.0000000892        0.0000061050       -0.0199458202
        0.0000044190        0.2694038506       -0.0944687207
        0.0000038000        0.0435977398        0.0000014404
        0.0000021191        0.0000003490        0.0000002245
       -0.0294744399        0.0000004843       -0.0621494354
        0.0650223041        0.0000078745       -0.0712548200
        0.0000001796        0.0000001296        0.0000000904
        0.0000003348        0.0000030496       -0.0124884997
        0.0000049653       -0.0944687207        0.3767709700
        0.0000054047        0.0017503203        0.0000061306
        0.0000057895        0.0000009646        0.0000006798
        0.0070338399        0.0000045048       -0.0035274297
        0.0162997895        0.0000026347        0.0253899299
        0.0000000591        0.0000002393        0.0000001853
        0.0000001296        0.0133339097        0.0000019253
       -0.0689239653        0.0000038000        0.0000054047
        0.2956408900        0.0000063744        0.0582876010
       -0.0582619049        0.0000004195        0.0000001950
        0.0000048249        0.0371991996        0.0000031150
        0.0000011897        0.0846480447        0.0000014251
        0.0000002046        0.0000002046        0.0000003047
        0.0000003246        0.0000044048        0.0469549855
        0.0000040046        0.0435977398        0.0017503203
        0.0000063744        0.3527132901        0.0000050153
        0.0000034697        0.0000006645        0.0000004746
       -0.0273610351        0.0000054945       -0.0514777298
        0.0653648198        0.0000006600        0.0539846599
        0.0000002899        0.0000002399        0.0000002802
        0.0000004002        0.0218993904        0.0000027256
        0.0773301406        0.0000014404        0.0000061306
        0.0582876010        0.0000050153        0.2532925089
        0.0766978354        0.0000000699        0.0000004809
        0.0000032810       -0.0000716847        0.0000020856
       -0.0000000648        0.0725063308        0.0000001057
       -0.0000000460       -0.0000000205        0.0000003098
       -0.0000000051        0.0094212999        0.0000015950
        0.0252586545        0.0000021191        0.0000057895
       -0.0582619049        0.0000034697        0.0766978354
        0.2539856303        0.0000007145        0.0000001546
        0.0000034953        0.0229245148        0.0000028552
        0.0000024295        0.0673127101        0.0000001353
        0.0000000540       -0.0056288360       -0.0000001097
       -0.0066556851        0.0000000193        0.0000003797
        0.0000004542        0.0000003490        0.0000009646
        0.0000004195        0.0000006645        0.0000000699
        0.0000007145        0.0396784105        0.0000001296
        0.0000007299        0.0000000244        0.0000006946
        0.0000002842        0.0000003143       -0.0000006696
        0.0058106349        0.0000000347       -0.0007688703
        0.0000000244        0.0000004400        0.0000006702
        0.0000002296        0.0000002245        0.0000006798
        0.0000001950        0.0000004746        0.0000004809
        0.0000001546        0.0000001296        0.0292930702
        0.0000004201        0.0000001950        0.0000004104
        0.0000001995        0.0000004349        0.0000006105
        0.0000001847        0.0000002348        0.0000001006
        0.0000003052        0.0000042155        0.0610217757
        0.0000033555       -0.0294744399        0.0070338399
        0.0000048249       -0.0273610351        0.0000032810
        0.0000034953        0.0000007299        0.0000004201
        0.3404599693        0.0000039353        0.0629765606
       -0.0691859049        0.0000020401        0.0975499705
        0.0000002245        0.0000001398        0.0000000904
        0.0000001245        0.0675349344        0.0000015501
       -0.0262086650        0.0000004843        0.0000045048
        0.0371991996        0.0000054945       -0.0000716847
        0.0229245148        0.0000000244        0.0000001950
        0.0000039353        0.3353447801        0.0000029149
        0.0000023147       -0.0512023303        0.0000006304
        0.0000001398        0.0000001296        0.0000001103
        0.0000001552        0.0000029655       -0.0191962295
        0.0000041553       -0.0621494354       -0.0035274297
        0.0000031150       -0.0514777298        0.0000020856
        0.0000028552        0.0000006946        0.0000004104
        0.0629765606        0.0000029149        0.3400421895
        0.0954185049        0.0000027501        0.0614434305
        0.0000001245        0.0000000642        0.0000001046
        0.0000000944        0.0000011346       -0.0693387051
        0.0000015496        0.0650223041        0.0162997895
        0.0000011897        0.0653648198       -0.0000000648
        0.0000024295        0.0000002842        0.0000001995
       -0.0691859049        0.0000023147        0.0954185049
        0.2608279306        0.0000013398        0.0039008950
        0.0000001398        0.0000001995        0.0000001802
        0.0000002245       -0.1057375999        0.0000012898
       -0.0677526054        0.0000078745        0.0000026347
        0.0846480447        0.0000006600        0.0725063308
        0.0673127101        0.0000003143        0.0000004349
        0.0000020401       -0.0512023303        0.0000027501
        0.0000013398        0.2885379502        0.0000014853
        0.0000001546        0.0000000347        0.0000001057
        0.0000001506        0.0000031298       -0.0288038842
        0.0000026148       -0.0712548200        0.0253899299
        0.0000014251        0.0539846599        0.0000001057
