    6   12
        0.3619335199       -0.0027933950        0.0229953901
        0.0000000000       -0.0039197450        0.0510441101
        0.0017009501        0.0977206550        0.0000000000
        0.0026880950        0.0000000000        0.0000000000
       -0.0027933950        0.5378250700       -0.0012555149
        0.0000000000       -0.0014082500        0.0177628750
        0.0097316950       -0.0010204650        0.0000000000
       -0.0007393400        0.0000000000        0.0000000000
        0.0229953901       -0.0012555149        0.3417003599
        0.0000000000        0.0070865651        0.0025506701
        0.0023696401       -0.0203010450        0.0000000000
        0.0007987750        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.3256601799        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0079641801
        0.0000000000        0.0221377800       -0.0012749199
       -0.0039197450       -0.0014082500        0.0070865651
        0.0000000000        0.3372174399        0.0024823800
        0.0113317300        0.0023427850        0.0000000000
       -0.0209103700        0.0000000000        0.0000000000
        0.0510441101        0.0177628750        0.0025506701
        0.0000000000        0.0024823800        0.1885479799
        0.0248128701        0.0108896700        0.0000000000
        0.0021661050        0.0000000000        0.0000000000
        0.0017009501        0.0097316950        0.0023696401
        0.0000000000        0.0113317300        0.0248128701
        0.2118556199       -0.0059415450        0.0000000000
       -0.0186614350        0.0000000000        0.0000000000
        0.0977206550       -0.0010204650       -0.0203010450
        0.0000000000        0.0023427850        0.0108896700
       -0.0059415450        0.3274765000        0.0000000000
        0.0093807000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0079641801        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.1982454599
        0.0000000000        0.0090091400       -0.0006409949
        0.0026880950       -0.0007393400        0.0007987750
        0.0000000000       -0.0209103700        0.0021661050
       -0.0186614350        0.0093807000        0.0000000000
        0.1437144400        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0221377800        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0090091400
        0.0000000000        0.1436312299       -0.0061978700
        0.0000000000        0.0000000000        0.0000000000
       -0.0012749199        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0006409949
        0.0000000000       -0.0061978700        0.0078519598
