    6   12
        0.0655690899        0.0040698551       -0.0000092999
        0.0000009801        0.0234775101       -0.0066402050
       -0.0000009800       -0.0933169599        0.0069199451
       -0.0000015449        0.0415329151        0.0254777801
        0.0040698551        0.0540674598        0.0000219850
       -0.0000566549       -0.0128932249        0.0550079501
        0.0002318250       -0.0148882799       -0.0469595349
        0.0000800651        0.0226293201       -0.0336128449
       -0.0000092999        0.0000219850        0.0627929998
       -0.0229285899        0.0000312601       -0.0001361499
        0.0930547501        0.0000366001        0.0001199851
        0.0319508551       -0.0000554399        0.0000846301
        0.0000009801       -0.0000566549       -0.0229285899
        0.0257232999        0.0000014700       -0.0000003900
       -0.0461226350       -0.0000009799        0.0000012650
       -0.0487805350        0.0000000801        0.0000005051
        0.0234775101       -0.0128932249        0.0000312601
        0.0000014700        0.4678474998       -0.0608560000
       -0.0000036999        0.0437150701       -0.0347501749
        0.0000017201        0.1416157200       -0.0232416099
       -0.0066402050        0.0550079501       -0.0001361499
       -0.0000003900       -0.0608560000        0.2419668100
       -0.0000015850        0.0329322550        0.0032259300
        0.0000010350        0.0139930350       -0.0695344350
       -0.0000009800        0.0002318250        0.0930547501
       -0.0461226350       -0.0000036999       -0.0000015850
        0.2723727700        0.0000063951        0.0000164850
        0.0835495950       -0.0000015750        0.0000007650
       -0.0933169599       -0.0148882799        0.0000366001
       -0.0000009799        0.0437150701        0.0329322550
        0.0000063951        0.2972943298        0.0035460750
        0.0000029551       -0.0728556400       -0.0215907449
        0.0069199451       -0.0469595349        0.0001199851
        0.0000012650       -0.0347501749        0.0032259300
        0.0000164850        0.0035460750        0.3587810799
        0.0000028751        0.0132107350       -0.0258644000
       -0.0000015449        0.0000800651        0.0319508551
       -0.0487805350        0.0000017201        0.0000010350
        0.0835495950        0.0000029551        0.0000028751
        0.1187307899       -0.0000028849       -0.0000005849
        0.0415329151        0.0226293201       -0.0000554399
        0.0000000801        0.1416157200        0.0139930350
       -0.0000015750       -0.0728556400        0.0132107350
       -0.0000028849        0.2343501399       -0.0940597949
        0.0254777801       -0.0336128449        0.0000846301
        0.0000005051       -0.0232416099       -0.0695344350
        0.0000007650       -0.0215907449       -0.0258644000
       -0.0000005849       -0.0940597949        0.2868070598
