    9   21
        0.0125134424        0.0092711527       -0.0000011380
       -0.0000005203       -0.0062897152        0.0000000204
       -0.0000008303       -0.0000012255       -0.0000000759
       -0.0187881780       -0.0000025072        0.0147532212
       -0.0000004678       -0.0000001277       -0.0000012558
        0.0014731270       -0.0011596438       -0.0000010292
       -0.0000008171       -0.0000019828        0.0000015920
        0.0092711527        0.0325451475       -0.0000006996
        0.0000006175       -0.0189193526        0.0000002171
       -0.0000001735        0.0000003738        0.0000005742
       -0.0473200190        0.0000004572        0.0445017418
        0.0000012771        0.0000003330       -0.0000008254
        0.0187412599        0.0019008696        0.0000003951
       -0.0000006459       -0.0000001152        0.0000008720
       -0.0000011380       -0.0000006996        0.0592913501
       -0.0014379926       -0.0000004948        0.0028461016
        0.0289027401       -0.0064140440       -0.0094369167
       -0.0000018738        0.0792718230       -0.0000015861
       -0.0035241921       -0.0024591497       -0.0377014826
       -0.0000016099       -0.0000012515       -0.0262347741
       -0.0079606433       -0.0203709744       -0.0052864132
       -0.0000005203        0.0000006175       -0.0014379926
        0.0520900896       -0.0000011168       -0.0208966852
        0.0076735562        0.0191869707       -0.0280925816
       -0.0000013573       -0.0071040722       -0.0000004565
       -0.0549948209        0.0008340918        0.0011329426
       -0.0000013384       -0.0000014879       -0.0045153279
       -0.0335102308        0.0248190429       -0.0138649645
       -0.0062897152       -0.0189193526       -0.0000004948
       -0.0000011168        0.0305665245       -0.0000000036
       -0.0000012853       -0.0000008961       -0.0000002567
        0.0384126870       -0.0000011937       -0.0450868657
        0.0000006196       -0.0000006084       -0.0000018149
       -0.0254972530       -0.0092543446       -0.0000014075
        0.0000000006       -0.0000000427        0.0000004109
        0.0000000204        0.0000002171        0.0028461016
       -0.0208966852       -0.0000000036        0.2223728204
       -0.0247965324        0.0255918640       -0.0285642756
       -0.0000004499       -0.0130331315       -0.0000014241
       -0.0063066580       -0.0066469399       -0.0440909049
       -0.0000012963       -0.0000024617        0.0846150740
        0.0468259716        0.0181931214       -0.0154640472
       -0.0000008303       -0.0000001735        0.0289027401
        0.0076735562       -0.0000012853       -0.0247965324
        0.3406222766       -0.0114288702       -0.0346058068
       -0.0000017501       -0.0411488286       -0.0000015682
        0.0062533262        0.0570070296       -0.0196190759
