    9   21
        0.3104461111        0.0129301970        0.0095634987
       -0.0018154938        0.0000000000        0.0046575202
        0.0002156710       -0.0005691076        0.0232724950
        0.0210042291        0.0386159174        0.0029619560
        0.0000000000       -0.0055624595        0.0000000000
       -0.0002427769        0.0069739316        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0129301970        0.5992595241       -0.0005614066
        0.0008556979        0.0000000000        0.0045618503
        0.0057369034       -0.0009136067        0.0165539053
       -0.0255238193        0.0009583913       -0.0060768627
        0.0000000000       -0.0001858034        0.0000000000
       -0.0265486769        0.0004665468        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0095634987       -0.0005614066        0.3435581776
        0.0018873646        0.0000000000        0.0000216215
        0.0000038366       -0.0000317561        0.0005357359
        0.0019506343       -0.0144479415        0.0002299195
        0.0000000000        0.0014750284        0.0000000000
       -0.0007024503        0.0000766757        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0018154938        0.0008556979        0.0018873646
        0.3414195231        0.0000000000       -0.0007516795
        0.0000590369       -0.0006300257       -0.0079353987
        0.0022343842        0.0003666734        0.0151845381
        0.0000000000       -0.0190055075        0.0000000000
       -0.0006880235       -0.0011545311        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.3368992505        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0158642417        0.0000000000        0.0187609606
        0.0000000000        0.0000000000        0.0015047464
        0.0029260443        0.0011332772       -0.0002974976
        0.0046575202        0.0045618503        0.0000216215
       -0.0007516795        0.0000000000        0.3538520052
        0.0004886964        0.0007468528       -0.0150486727
       -0.0005637479        0.0020377101        0.0038328000
        0.0000000000       -0.0001167927        0.0000000000
       -0.0013710001       -0.0054210467        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0002156710        0.0057369034        0.0000038366
        0.0000590369        0.0000000000        0.0004886964
        0.3630459915        0.0022923780        0.0000707615
       -0.0020154543        0.0009377356        0.0004152965
        0.0000000000       -0.0001890848        0.0000000000
        0.0110201807       -0.0010337019        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0005691076       -0.0009136067       -0.0000317561
       -0.0006300257        0.0000000000        0.0007468528
        0.0022923780        0.3611104533        0.0090207170
        0.0038601726       -0.0004291718       -0.0022207972
        0.0000000000       -0.0006363295        0.0000000000
        0.0003534824        0.0169149860        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0232724950        0.0165539053        0.0005357359
       -0.0079353987        0.0000000000       -0.0150486727
