   13   33
        0.2768016878        0.0000077884       -0.0370292982
        0.0000097285        0.0000102449        0.0000152238
        0.0062178056        0.0000021579        0.0000010445
        0.0000004752        0.0000001573       -0.0000010455
        0.0000046815        0.0000022538        0.0000025869
        0.0000033212       -0.0000003500       -0.0232442314
        0.0000007343        0.0000033783        0.0000027330
        0.0000004015        0.0000034227        0.0000058226
        0.0000060011       -0.0001436929        0.0000017384
        0.0000010006        0.0000018311        0.0000035033
        0.0000025288   549601.7566188471       -0.0000034920
        0.0000077884        0.2653312171        0.0000104832
       -0.0114571148        0.0000417138        0.0000463540
       -0.0000002068        0.0065949448        0.0000284810
        0.0000320559        0.0001597684       -0.0000010193
        0.0000340353        0.0000312423        0.0000030431
        0.0000024095        0.0001736251       -0.0000000398
       -0.0251262091        0.0000291371        0.0000334116
        0.0000288600       -0.0000037322        0.0000333837
        0.0000334934       -0.0000011578        0.0001246552
        0.0000314040        0.0000300598        0.0000186968
       -0.0000006864        0.0000255004        0.0000205416
       -0.0370292982        0.0000104832        0.3051781420
        0.0000163722        0.0000059484        0.0000059995
        0.0077390048        0.0000006595       -0.0000005659
        0.0000057000        0.0000021971       -0.0000017823
        0.0000021716        0.0000033342        0.0000040961
        0.0000053682        0.0000029755       -0.0184656389
        0.0000012668        0.0000022069        0.0000026851
       -0.0000022322        0.0000041263        0.0000035925
        0.0000035996       -0.0705810983        0.0000044356
        0.0000013145        0.0000041139       -0.0000013144
       -0.0000014195       -0.0000008808       -0.0000030036
        0.0000097285       -0.0114571148        0.0000163722
        0.2539457927        0.0000369546        0.0000417054
       -0.0000022031        0.0034090451        0.0000271153
        0.0000346201        0.0000182011       -0.0000010915
        0.0000328272        0.0000324196        0.0000053990
        0.0000007654        0.0002712255        0.0000002917
       -0.0136606128        0.0000287665        0.0000276324
        0.0000269746        0.0000041027        0.0000338895
        0.0000325184        0.0000021987       -0.0804593979
        0.0000323753        0.0000319307        0.0001117519
       -0.0000005981        0.0000278931        0.0000235545
        0.0000102449        0.0000417138        0.0000059484
        0.0000369546        0.3062472524        0.0000750279
       -0.0000020808        0.0000370326        0.0152416592
        0.0000356488        0.0000302444       -0.0000062801
        0.0032542668        0.0002728831        0.0136443212
        0.0136450096        0.0000278315       -0.0000014359
        0.0000275037       -0.0258726170        0.0001370738
        0.0000290824       -0.0000005245       -0.0034600188
        0.0001638942       -0.0000019055        0.0000295205
        0.0389426479        0.0000278754        0.0000290125
        0.0000023223       -0.0142301010        0.0001462121
        0.0000152238        0.0000463540        0.0000059995
        0.0000417054        0.0000750279        0.3062409755
        0.0000000703        0.0000419962        0.0000393426
        0.0152454081        0.0000329966       -0.0000008268
        0.0002781152       -0.0031895421       -0.0134946630
        0.0136488495        0.0000304770        0.0000015402
        0.0000344265        0.0001404179       -0.0258689312
        0.0000316666        0.0000019837        0.0001654435
        0.0035221701        0.0000044172        0.0000355539
        0.0000314259        0.0389450679        0.0000296296
        0.0000076183        0.0001512608        0.0142840172
        0.0062178056       -0.0000002068        0.0077390048
       -0.0000022031       -0.0000020808        0.0000000703
        0.3604940625        0.0000076524        0.0000088927
        0.0000075816        0.0000065899        0.0000064537
        0.0000091588        0.0000109958        0.0000004357
        0.0000005554       -0.0000022784        0.0127080378
        0.0000014762       -0.0000026542       -0.0000015326
       -0.0000028263        0.0000035330        0.0000009643
        0.0000028119        0.0036381201        0.0000004049
       -0.0000021092        0.0000003537       -0.0000022187
       -0.0000031686       -0.0000037124   548907.3259096638
        0.0000021579        0.0065949448        0.0000006595
        0.0034090451        0.0000370326        0.0000419962
        0.0000076524        0.3600843283        0.0000384921
        0.0000395603        0.0001389022        0.0000060651
        0.0000419494        0.0000386878        0.0000004825
       -0.0000007591        0.0000089102       -0.0000030359
        0.0144586569        0.0000295671        0.0000273724
        0.0000287652        0.0000022108        0.0000328367
        0.0000323703       -0.0000025592       -0.0025622870
        0.0000265193        0.0000295539        0.0001089160
        0.0000004671        0.0000226417        0.0000202223
        0.0000010445        0.0000284810       -0.0000005659
        0.0000271153        0.0152416592        0.0000393426
        0.0000088927        0.0000384921        0.3605693709
        0.0000676393        0.0000382634        0.0000064321
        0.0002618124        0.0002443153        0.0006035204
        0.0006039541        0.0000301529       -0.0000026333
        0.0000300520        0.0122354028        0.0000800777
        0.0000276356       -0.0000002514        0.0004642813
        0.0002079030       -0.0000010559        0.0000299585
        0.0011019891        0.0000824740        0.0000267742
        0.0000058726        0.0003582969        0.0001680991
        0.0000004752        0.0000320559        0.0000057000
        0.0000346201        0.0000356488        0.0152454081
