    4    6
        0.2083420122        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.1815672363       -0.0000076272
        0.0088652212        0.0153476208        0.0000000000
        0.0000000000       -0.0000076272        0.1815670134
        0.0153535018       -0.0088763909        0.0000000000
        0.0000000000        0.0088652212        0.0153535018
        0.1008354002       -0.0000042485        0.0000000000
        0.0000000000        0.0153476208       -0.0088763909
       -0.0000042485        0.1008431582        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0218702280
