    4    6
        0.1930926601        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.1733017143       -0.0000140290
        0.0095954806        0.0103636637        0.0000000000
        0.0000000000       -0.0000140290        0.1817706266
        0.0138061171       -0.0126309055        0.0000000000
        0.0000000000        0.0095954806        0.0138061171
        0.0898855114       -0.0001291596        0.0000000000
        0.0000000000        0.0103636637       -0.0126309055
       -0.0001291596        0.0982528809        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0193886285
