    4    6
        0.2156999994        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.1973999997        0.0000000000
        0.0085500017        0.0148000004        0.0000000000
        0.0000000000        0.0000000000        0.1973999997
        0.0148000015       -0.0085000011        0.0000000000
        0.0000000000        0.0085500017        0.0148000015
        0.0949999981        0.0000000011        0.0000000000
        0.0000000000        0.0148000004       -0.0085000011
        0.0000000011        0.0950000003        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0218000014
