    4    6
        0.0238273060        0.0000101613       -0.0000000546
        0.0000010868       -0.0000005662        0.0000094769
        0.0000101613        0.1765425395        0.0005343725
        0.0000080604       -0.0001086403       -0.0468303176
       -0.0000000546        0.0005343725        0.1817648149
        0.0000155171        0.0494518622        0.0011989698
        0.0000010868        0.0000080604        0.0000155171
        0.2983309719        0.0000012062        0.0000002501
       -0.0000005662       -0.0001086403        0.0494518622
        0.0000012062        0.2096344383        0.0005569939
        0.0000094769       -0.0468303176        0.0011989698
        0.0000002501        0.0005569939        0.2044470261
