    4    6
        0.3209575402        0.0000183695        0.0000130103
        0.0000051250        0.0000021646        0.0000015154
        0.0000183695        0.2446588610        0.0000061198
        0.0237288896        0.0410997745        0.0000000443
        0.0000130103        0.0000061198        0.2446592703
        0.0410967743       -0.0237292306        0.0000000443
        0.0000051250        0.0237288896        0.0410967743
        0.1870905703        0.0000040893        0.0000001296
        0.0000021646        0.0410997745       -0.0237292306
        0.0000040893        0.1870903907        0.0000001296
        0.0000015154        0.0000000443        0.0000000443
        0.0000001296        0.0000001296        0.0336496805
