    4    6
        0.3053623004        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.2269813899        0.0000059651
        0.0235315611        0.0407580342        0.0000000000
        0.0000000000        0.0000059651        0.2269817401
        0.0407551215       -0.0235320999        0.0000000000
        0.0000000000        0.0235315611        0.0407551215
        0.1815951987        0.0000032753        0.0000000000
        0.0000000000        0.0407580342       -0.0235320999
        0.0000032753        0.1815950304        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0330449006
