    4    6
        0.5503162294        0.0459623601       -0.0281865047
        0.0339874651       -0.0100957246        0.0000004749
        0.0459623601        0.5061093395       -0.0177055099
       -0.0303508099        0.0416177252        0.0000001452
       -0.0281865047       -0.0177055099        0.4881178296
        0.0385947001        0.0416156951        0.0000000051
        0.0339874651       -0.0303508099        0.0385947001
        0.2189225296        0.0000054101        0.0000015899
       -0.0100957246        0.0416177252        0.0416156951
        0.0000054101        0.2189225296        0.0000015851
        0.0000004749        0.0000001452        0.0000000051
        0.0000015899        0.0000015851        0.0426742099
