    4    6
        0.0289013968        0.0000007401       -0.0000000497
        0.0000019870        0.0000011968        0.0000019335
        0.0000007401        0.3379442785        0.0002341329
        0.0000161862        0.0001091607        0.1401642473
       -0.0000000497        0.0002341329        0.3380516455
        0.0000243753       -0.1401094559        0.0001918121
        0.0000019870        0.0000161862        0.0000243753
        0.5785861271        0.0000117748       -0.0000016220
        0.0000011968        0.0001091607       -0.1401094559
        0.0000117748        0.3023862320        0.0002204357
        0.0000019335        0.1401642473        0.0001918121
       -0.0000016220        0.0002204357        0.3022913364
