    5    9
        0.0689117610        0.0000010789       -0.0000000307
        0.0000033185       -0.0481871962        0.0000020498
       -0.0000000114       -0.0000000841        0.0000003854
        0.0000010789        0.0689113722        0.0000010994
        0.0000033174        0.0000020725        0.0481910342
        0.0000020589        0.0000006696       -0.0000003308
       -0.0000000307        0.0000010994        0.0689117610
        0.0000033435       -0.0000000114        0.0000020657
        0.0481956090       -0.0000001000        0.0000004013
        0.0000033185        0.0000033174        0.0000033435
        0.2959471135        0.0000074726        0.0000074533
        0.0000074476        0.0000039336        0.0000017235
       -0.0481871962        0.0000020725       -0.0000000114
        0.0000074726        0.1828323730        0.0000039142
        0.0000014529       -0.0000002910        0.0000020646
        0.0000020498        0.0481910342        0.0000020657
        0.0000074533        0.0000039142        0.1828315612
        0.0000039142        0.0000032060       -0.0000014404
       -0.0000000114        0.0000020589        0.0481956090
        0.0000074476        0.0000014529        0.0000039142
        0.1828324025       -0.0000002899        0.0000020191
       -0.0000000841        0.0000006696       -0.0000001000
        0.0000039336       -0.0000002910        0.0000032060
       -0.0000002899        0.1465690002        0.0000026102
        0.0000003854       -0.0000003308        0.0000004013
        0.0000017235        0.0000020646       -0.0000014404
        0.0000020191        0.0000026102        0.1465690002
