    5    9
        0.0689117633        0.0000010675        0.0000003479
        0.0000037380       -0.0481873565        0.0000020282
        0.0000001080        0.0000001683        0.0000004388
        0.0000010675        0.0689115632        0.0000010834
        0.0000037176        0.0000020532       -0.0481866823
        0.0000020782        0.0000011130       -0.0000002058
        0.0000003479        0.0000010834        0.0689117519
        0.0000037733        0.0000001387        0.0000020236
       -0.0481873451        0.0000001785        0.0000004297
        0.0000037380        0.0000037176        0.0000037733
        0.2959471021        0.0000076727        0.0000075738
        0.0000076500        0.0000048942        0.0000028149
       -0.0481873565        0.0000020532        0.0000001387
        0.0000076727        0.1828323525        0.0000039540
        0.0000018542        0.0000000637        0.0000025352
        0.0000020282       -0.0481866823        0.0000020236
        0.0000075738        0.0000039540        0.1828317318
        0.0000039438        0.0000041143       -0.0000014052
        0.0000001080        0.0000020782       -0.0481873451
        0.0000076500        0.0000018542        0.0000039438
        0.1828323616        0.0000000443        0.0000025352
        0.0000001683        0.0000011130        0.0000001785
        0.0000048942        0.0000000637        0.0000041143
        0.0000000443        0.1465695914        0.0000032310
        0.0000004388       -0.0000002058        0.0000004297
        0.0000028149        0.0000025352       -0.0000014052
        0.0000025352        0.0000032310        0.1465695800
