    5    9
        0.1014659500        0.0000012051        0.0000011701
        0.1020588002        0.0000041300        0.0000040401
        0.0000066498       -0.0000002302        0.0000015402
        0.0000012051        0.1014660302        0.0000007796
        0.0000042047       -0.0459708153        0.0911233153
        0.0000066800        0.0000011349        0.0000002248
        0.0000011701        0.0000007796        0.1014660103
        0.0000040950       -0.0911090453       -0.0459708102
        0.0000067146        0.0000011448        0.0000002598
        0.1020588002        0.0000042047        0.0000040950
        0.4093720503        0.0000170948        0.0000170999
        0.0000279047       -0.0000026404        0.0000062897
        0.0000041300       -0.0459708153       -0.0911090453
        0.0000170948        0.4093734401        0.0000125803
        0.0000279798        0.0000041297       -0.0000003453
        0.0000040401        0.0911233153       -0.0459708102
        0.0000170999        0.0000125803        0.4093734600
        0.0000279397        0.0000041300       -0.0000003851
        0.0000066498        0.0000066800        0.0000067146
        0.0000279047        0.0000279798        0.0000279397
        0.6252629703        0.0000065197        0.0000095497
       -0.0000002302        0.0000011349        0.0000011448
       -0.0000026404        0.0000041297        0.0000041300
        0.0000065197        0.1688250205        0.0000033995
        0.0000015402        0.0000002248        0.0000002598
        0.0000062897       -0.0000003453       -0.0000003851
        0.0000095497        0.0000033995        0.1688250603
