    5    9
        0.6356209929        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.4216228410        0.0000298283
        0.0000299073        0.0000000000        0.0000000000
        0.1293409383        0.0000002697       -0.0000002657
        0.0000000000        0.0000298283        0.4216214165
        0.0000306528        0.0000000000        0.0000000000
        0.0000005281        0.1293424469       -0.0000005795
        0.0000000000        0.0000299073        0.0000306528
        0.4216210084        0.0000000000        0.0000000000
       -0.0000007105        0.0000026731        0.1293413203
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.3044809432        0.0000007489
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000007489        0.3044786223
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.1293409383        0.0000005281
       -0.0000007105        0.0000000000        0.0000000000
        0.4461511423        0.0000193111        0.0000179205
        0.0000000000        0.0000002697        0.1293424469
        0.0000026731        0.0000000000        0.0000000000
        0.0000193111        0.4461505057        0.0000188558
        0.0000000000       -0.0000002657       -0.0000005795
        0.1293413203        0.0000000000        0.0000000000
        0.0000179205        0.0000188558        0.4461547655
