    5    9
        0.1014660398        0.0000009098        0.0000010300
        0.0000040399        0.0000007401       -0.1020516549
        0.0000068047        0.0000034498        0.0000007901
        0.0000009098        0.1014660404        0.0000009746
        0.0000040748       -0.1020516501        0.0000007347
        0.0000066896        0.0000034495        0.0000008001
        0.0000010300        0.0000009746        0.1014660103
        0.1020589798        0.0000040851        0.0000037198
        0.0000066896       -0.0000005301        0.0000044400
        0.0000040399        0.0000040748        0.1020589798
        0.4093718604        0.0000172398        0.0000167898
        0.0000281096       -0.0000033305        0.0000110148
        0.0000007401       -0.1020516501        0.0000040851
        0.0000172398        0.4093759901        0.0000048200
        0.0000281096        0.0000074300        0.0000002652
       -0.1020516549        0.0000007347        0.0000037198
        0.0000167898        0.0000048200        0.4093760100
        0.0000276199        0.0000074198        0.0000002802
        0.0000068047        0.0000066896        0.0000066896
        0.0000281096        0.0000281096        0.0000276199
        0.6252629606        0.0000049795       -0.0000005053
        0.0000034498        0.0000034495       -0.0000005301
       -0.0000033305        0.0000074300        0.0000074198
        0.0000049795        0.1969655705        0.0000068547
        0.0000007901        0.0000008001        0.0000044400
        0.0000110148        0.0000002652        0.0000002802
       -0.0000005053        0.0000068547        0.1969655699
