    5    9
        0.4682265299        0.0000475552        0.0252979500
       -0.0000001650        0.0352653949        0.0000032601
        0.0000032598        0.0000009049       -0.0527978651
        0.0000475552        0.3758215996       -0.0000000749
       -0.0000002846       -0.0000030148        0.0944723502
        0.0000031450        0.0000011600        0.0000007101
        0.0252979500       -0.0000000749        0.3767666198
        0.0000382752       -0.0030519701       -0.0000007799
       -0.0000008799       -0.0000002250        0.0140167199
       -0.0000001650       -0.0000002846        0.0000382752
        0.3708898396       -0.0000000850       -0.0000005348
        0.0147169601       -0.0000004599       -0.0000015248
        0.0352653949       -0.0000030148       -0.0030519701
       -0.0000000850        0.3167941600        0.0000101649
        0.0000094199        0.0000004700       -0.0490723551
        0.0000032601        0.0944723502       -0.0000007799
       -0.0000005348        0.0000101649        0.2218033399
        0.0000003800        0.0000023151        0.0000071201
        0.0000032598        0.0000031450       -0.0000008799
        0.0147169601        0.0000094199        0.0000003800
        0.2705774000        0.0000042499        0.0000043900
        0.0000009049        0.0000011600       -0.0000002250
       -0.0000004599        0.0000004700        0.0000023151
        0.0000042499        0.1807934200        0.0000019548
       -0.0527978651        0.0000007101        0.0140167199
       -0.0000015248       -0.0490723551        0.0000071201
        0.0000043900        0.0000019548        0.1603659899
