    5    9
        0.4554168325        0.0000439455        0.0336893530
        0.0000002490        0.0335051561        0.0000037542
        0.0000017113        0.0000007299       -0.0538432927
        0.0000439455        0.3519199254       -0.0000011902
        0.0000008282       -0.0000032291        0.0950858590
        0.0000050854        0.0000005294        0.0000017771
        0.0336893530       -0.0000011902        0.3498269004
        0.0000371826       -0.0019174892       -0.0000016691
       -0.0000002018       -0.0000009352        0.0138413058
        0.0000002490        0.0000008282        0.0000371826
        0.3419503960        0.0000000125       -0.0000002346
        0.0155831732       -0.0000013233       -0.0000007935
        0.0335051561       -0.0000032291       -0.0019174892
        0.0000000125        0.3072741612        0.0000107698
        0.0000088569       -0.0000003405       -0.0477197781
        0.0000037542        0.0950858590       -0.0000016691
       -0.0000002346        0.0000107698        0.2125643522
        0.0000003216        0.0000016841        0.0000071735
        0.0000017113        0.0000050854       -0.0000002018
        0.0155831732        0.0000088569        0.0000003216
        0.2623379001        0.0000014136        0.0000041783
        0.0000007299        0.0000005294       -0.0000009352
       -0.0000013233       -0.0000003405        0.0000016841
        0.0000014136        0.1707244252        0.0000011320
       -0.0538432927        0.0000017771        0.0138413058
       -0.0000007935       -0.0477197781        0.0000071735
        0.0000041783        0.0000011320        0.1563025180
