    5    9
        0.4682265200        0.0000475850        0.0252979549
       -0.0000001548        0.0352653949        0.0000039302
        0.0000029050        0.0000017701       -0.0527978601
        0.0000475850        0.3758215996       -0.0000000749
       -0.0000002598       -0.0000030148        0.0944728502
        0.0000053004        0.0000019102        0.0000007101
        0.0252979549       -0.0000000749        0.3767666198
        0.0000382803       -0.0030519701       -0.0000008949
        0.0000002102        0.0000019351        0.0140167199
       -0.0000001548       -0.0000002598        0.0000382803
        0.3708898595       -0.0000000949       -0.0000005646
        0.0147165903       -0.0000012096       -0.0000015348
        0.0352653949       -0.0000030148       -0.0030519701
       -0.0000000949        0.3167941600        0.0000101900
        0.0000091400       -0.0000001150       -0.0490723551
        0.0000039302        0.0944728502       -0.0000008949
       -0.0000005646        0.0000101900        0.2218033796
        0.0000002703        0.0000019602        0.0000072352
        0.0000029050        0.0000053004        0.0000002102
        0.0147165903        0.0000091400        0.0000002703
        0.2705781196        0.0000033252        0.0000042000
        0.0000017701        0.0000019102        0.0000019351
       -0.0000012096       -0.0000001150        0.0000019602
        0.0000033252        0.1807948897        0.0000014451
       -0.0527978601        0.0000007101        0.0140167199
       -0.0000015348       -0.0490723551        0.0000072352
        0.0000042000        0.0000014451        0.1603659899
