    5    9
        0.8753087934        0.0789137749        0.0214944951
       -0.0060699762        0.0037933951        0.0422613910
        0.0384991816        0.0000000000        0.0000000000
        0.0789137749        0.4145783754        0.0123368298
        0.0098929424        0.0364357061        0.0154321611
       -0.0418856762        0.0000000000        0.0000000000
        0.0214944951        0.0123368298        0.3410473926
       -0.0012632189        0.0035947406       -0.0175488034
       -0.0076878577        0.0000000000        0.0000000000
       -0.0060699762        0.0098929424       -0.0012632189
        0.5130110461        0.0321352611       -0.0142653194
       -0.0047678145        0.0000000000        0.0000000000
        0.0037933951        0.0364357061        0.0035947406
        0.0321352611        0.1709272993       -0.0398641299
       -0.0161944318        0.0000000000        0.0000000000
        0.0422613910        0.0154321611       -0.0175488034
       -0.0142653194       -0.0398641299        0.2738128771
        0.0045560070        0.0000000000        0.0000000000
        0.0384991816       -0.0418856762       -0.0076878577
       -0.0047678145       -0.0161944318        0.0045560070
        0.1490544108        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0218224608       -0.0000901240
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0000901240        0.1010269682
