    9   21
        0.2909643000        0.0000260400        0.0000186800
        0.0010919400       -0.0000001150       -0.0000001550
       -0.0000001000       -0.0000001150       -0.0000001100
       -0.0293130299       -0.0000000251        0.0000000500
        0.0000001601        0.0000002350        0.0000005399
        0.0000010300        0.0000006700        0.0000006050
       -0.0000004000        0.0000000700        0.0000000800
        0.0000260400        0.3166608599        0.0000094900
       -0.0000002599        0.0068530651        0.0048458400
       -0.0048461299       -0.0000001649       -0.0000001649
        0.0000006751       -0.0127338700       -0.0220558749
        0.0000005301        0.0000010750        0.0000009550
        0.0632038250        0.0223484051        0.0387030900
       -0.0000001800        0.0000006300        0.0000009300
        0.0000186800        0.0000094900        0.3166609000
       -0.0000001150        0.0039565250       -0.0000001950
        0.0055954200        0.0048458001        0.0048458001
        0.0000002550       -0.0220559001        0.0127343750
        0.0000008501        0.0000004250        0.0000011850
        0.0364906250       -0.0645080250       -0.0223443350
       -0.0000001900        0.0000009300        0.0000006050
        0.0010919400       -0.0000002599       -0.0000001150
        0.3936621400        0.0000130750        0.0000193349
        0.0000131200        0.0000131151        0.0000131200
        0.0144543750       -0.0000000900       -0.0000000500
       -0.0000000549       -0.0000000650       -0.0000000500
       -0.0000000700        0.0000001950        0.0000000851
       -0.0000004301       -0.0000002250       -0.0000002350
       -0.0000001150        0.0068530651        0.0039565250
        0.0000130750        0.3930379799        0.0002875750
       -0.0005891250        0.0001716150        0.0010671550
       -0.0000002149        0.0092915300        0.0053643701
        0.0041839251       -0.0016294049        0.0028219050
        0.0012415550       -0.0002195850        0.0003802150
       -0.0000003750        0.0037546500        0.0021677950
       -0.0000001550        0.0048458400       -0.0000001950
        0.0000193349        0.0002875750        0.3930823300
       -0.0001740850        0.0009565650       -0.0009432100
       -0.0000003050        0.0032848000        0.0056897551
       -0.0013293849        0.0061243050       -0.0013654551
        0.0006582750        0.0002326099        0.0004032600
       -0.0000005051       -0.0039829801        0.0022988000
       -0.0000001000       -0.0048461299        0.0055954200
        0.0000131200       -0.0005891250       -0.0001740850
        0.3926098499        0.0011805651        0.0005473051
       -0.0000002149        0.0032848350       -0.0094832949
        0.0045878101        0.0038200950        0.0026254801
       -0.0002197750       -0.0010091700       -0.0006722500
       -0.0000003801        0.0013273350        0.0053649300
       -0.0000001150       -0.0000001649        0.0048458001
        0.0000131151        0.0001716150        0.0009565650
        0.0011805651        0.3919854899        0.0002138550
       -0.0000002949        0.0056897400       -0.0032853549
       -0.0007675799       -0.0057066750       -0.0061244199
        0.0003799551       -0.0006724050       -0.0002330300
       -0.0000004850        0.0022990850       -0.0066382950
       -0.0000001100       -0.0000001649        0.0048458001
        0.0000131200        0.0010671550       -0.0009432100
        0.0005473051        0.0002138550        0.3919854899
       -0.0000002949        0.0056897250       -0.0032853199
       -0.0079465199        0.0026255000        0.0007880850
        0.0003798550       -0.0006723599       -0.0002329600
       -0.0000004750       -0.0068984850       -0.0013277350
       -0.0293130299        0.0000006751        0.0000002550
        0.0144543750       -0.0000002149       -0.0000003050
       -0.0000002149       -0.0000002949       -0.0000002949
        0.1069793399        0.0000002850        0.0000002251
        0.0000004152        0.0000004201        0.0000004850
        0.0000026900        0.0000027951        0.0000026100
       -0.0000004050        0.0000002000        0.0000001700
       -0.0000000251       -0.0127338700       -0.0220559001
       -0.0000000900        0.0092915300        0.0032848000
        0.0032848350        0.0056897400        0.0056897250
        0.0000002850        0.1029025900        0.0000001650
        0.0000003501        0.0000004400        0.0000002900
       -0.0021301750        0.0015117000        0.0000013200
       -0.0000000651        0.0000001250        0.0000001500
        0.0000000500       -0.0220558749        0.0127343750
       -0.0000000500        0.0053643701        0.0056897551
       -0.0094832949       -0.0032853549       -0.0032853199
        0.0000002251        0.0000001650        0.1029025398
        0.0000004001        0.0000002900        0.0000004501
       -0.0012288699       -0.0017402100       -0.0015039249
       -0.0000000350        0.0000001801        0.0000001501
        0.0000001601        0.0000005301        0.0000008501
       -0.0000000549        0.0041839251       -0.0013293849
        0.0045878101       -0.0007675799       -0.0079465199
        0.0000004152        0.0000003501        0.0000004001
        0.0806263398        0.0007644351       -0.0013215599
        0.0000009751        0.0000011701        0.0000008451
       -0.0000007100        0.0280450000        0.0161915501
        0.0000002350        0.0000010750        0.0000004250
       -0.0000000650       -0.0016294049        0.0061243050
        0.0038200950       -0.0057066750        0.0026255000
        0.0000004201        0.0000004400        0.0000002900
        0.0007644351        0.0811662500       -0.0018694900
        0.0000011450        0.0000013600        0.0000007250
       -0.0000008650       -0.0198294451        0.0228985751
        0.0000005399        0.0000009550        0.0000011850
       -0.0000000500        0.0028219050       -0.0013654551
        0.0026254801       -0.0061244199        0.0007880850
        0.0000004850        0.0000002900        0.0000004501
       -0.0013215599       -0.0018694900        0.0833255800
        0.0000015200        0.0000010050        0.0000016700
       -0.0000009550        0.0000002800        0.0198308400
        0.0000010300        0.0632038250        0.0364906250
       -0.0000000700        0.0012415550        0.0006582750
       -0.0002197750        0.0003799551        0.0003798550
        0.0000026900       -0.0021301750       -0.0012288699
        0.0000009751        0.0000011450        0.0000015200
        0.2493623499       -0.0076820650        0.0133746101
        0.0000012950        0.0000031299        0.0000042100
        0.0000006700        0.0223484051       -0.0645080250
        0.0000001950       -0.0002195850        0.0002326099
       -0.0010091700       -0.0006724050       -0.0006723599
        0.0000027951        0.0015117000       -0.0017402100
        0.0000011701        0.0000013600        0.0000010050
       -0.0076820650        0.2439134200        0.0188968600
        0.0000016950        0.0000055049        0.0000018100
        0.0000006050        0.0387030900       -0.0223443350
        0.0000000851        0.0003802150        0.0004032600
       -0.0006722500       -0.0002330300       -0.0002329600
        0.0000026100        0.0000013200       -0.0015039249
        0.0000008451        0.0000007250        0.0000016700
        0.0133746101        0.0188968600        0.2221049400
        0.0000033100        0.0000023250        0.0000049101
