    4    6
        0.3495000000        0.0000000000        0.0490000000
        0.0172500000        0.0000000000        0.0000000000
        0.0000000000        0.3400000000        0.0000000000
        0.0000000000        0.0111999999        0.0000000000
        0.0490000000        0.0000000000        0.8778000000
       -0.0475000000        0.0000000000        0.0000000000
        0.0172500000        0.0000000000       -0.0475000000
        0.1343000000        0.0000000000        0.0000000000
        0.0000000000        0.0111999999        0.0000000000
        0.0000000000        0.1986000001        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0994000001
