    4    6
        0.3203210400        0.0000000000        0.0476417300
        0.0165525300        0.0000000000        0.0000000000
        0.0000000000        0.3104314500        0.0000000000
        0.0000000000        0.0118138399        0.0000000000
        0.0476417300        0.0000000000        0.8330394500
       -0.0469764700        0.0000000000        0.0000000000
        0.0165525300        0.0000000000       -0.0469764700
        0.1305577500        0.0000000000        0.0000000000
        0.0000000000        0.0118138399        0.0000000000
        0.0000000000        0.1914773802        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0963718600
