    5    9
        0.0328032007       -0.0000026191       -0.0000019105
        0.0000012631       -0.0000016945        0.0500115266
       -0.0226330067       -0.0000007046        0.0000001518
       -0.0000026191        0.0761728404        0.0000005662
        0.0000028845       -0.1090897368        0.0000016496
        0.0000016615       -0.0386654236       -0.0000020847
       -0.0000019105        0.0000005662        0.0761577377
       -0.1090792085        0.0000030911        0.0000018983
        0.0000046074        0.0000068866       -0.0386567052
        0.0000012631        0.0000028845       -0.1090792085
        0.2830145280        0.0000095926        0.0000051475
        0.0000167094        0.0000068226        0.0666313571
       -0.0000016945       -0.1090897368        0.0000030911
        0.0000095926        0.2830312991        0.0000012943
        0.0000212825        0.0666228175        0.0000024605
        0.0500115266        0.0000016496        0.0000018983
        0.0000051475        0.0000012943        0.2417220645
       -0.0461857809       -0.0000001154        0.0000029283
       -0.0226330067        0.0000016615        0.0000046074
        0.0000167094        0.0000212825       -0.0461857809
        0.3363664450        0.0000032080        0.0000027052
       -0.0000007046       -0.0386654236        0.0000068866
        0.0000068226        0.0666228175       -0.0000001154
        0.0000032080        0.1019901271        0.0000033961
        0.0000001518       -0.0000020847       -0.0386567052
        0.0666313571        0.0000024605        0.0000029283
        0.0000027052        0.0000033961        0.1019758548
