    5    9
        0.2335724901        0.0047635248       -0.0000004448
       -0.0000004201        0.0000034848        0.0000019699
        0.0620823550       -0.0000001052        0.0000000554
        0.0047635248        0.3861447806        0.0000366549
        0.0000256094       -0.0000002402       -0.0000002456
       -0.0173195053       -0.0000002203       -0.0000002549
       -0.0000004448        0.0000366549        0.3828697101
        0.0000132147        0.0019557049       -0.0000001904
       -0.0000003649        0.0089066600       -0.0154289546
       -0.0000004201        0.0000256094        0.0000132147
        0.3828714409       -0.0000002007        0.0019556444
       -0.0000004206        0.0154276395        0.0089066097
        0.0000034848       -0.0000002402        0.0019557049
       -0.0000002007        0.1676019605        0.0000023394
        0.0000003246        0.0025897600       -0.0044795098
        0.0000019699       -0.0000002456       -0.0000001904
        0.0019556444        0.0000023394        0.1676009208
        0.0000012497        0.0044834297        0.0025895247
        0.0620823550       -0.0173195053       -0.0000003649
       -0.0000004206        0.0000003246        0.0000012497
        0.1486394405        0.0000018099        0.0000009553
       -0.0000001052       -0.0000002203        0.0089066600
        0.0154276395        0.0025897600        0.0044834297
        0.0000018099        0.1303198502        0.0000007401
        0.0000000554       -0.0000002549       -0.0154289546
        0.0089066097       -0.0044795098        0.0025895247
        0.0000009553        0.0000007401        0.1303198599
