    6   12
        0.0365223389        0.0054404083        0.0000030198
       -0.0026454569       -0.0000012116       -0.0304448648
        0.0000001654       -0.0374313424       -0.0343738327
       -0.0113664871       -0.0000005596       -0.0175649024
        0.0054404083        0.0618550087        0.0000011664
        0.0018430933        0.0000002191        0.0371684254
        0.0000003959       -0.0835073163        0.0163471546
       -0.0401518227       -0.0000025688       -0.0126342525
        0.0000030198        0.0000011664        0.0675725636
        0.0000063596       -0.0292340073        0.0000050332
        0.0994484839        0.0000023536        0.0000089312
        0.0000050878       -0.0369422531        0.0000039557
       -0.0026454569        0.0018430933        0.0000063596
        0.2585715566        0.0000028592        0.0109220827
        0.0000019011       -0.0366895995       -0.0030782269
        0.0483074251        0.0000022388        0.0066914353
       -0.0000012116        0.0000002191       -0.0292340073
        0.0000028592        0.0388025097        0.0000006315
       -0.0543806377        0.0000011880        0.0000028231
       -0.0000000904        0.0511797506        0.0000021268
       -0.0304448648        0.0371684254        0.0000050332
        0.0109220827        0.0000006315        0.1898169938
        0.0000022004       -0.0056311268        0.0314111827
       -0.0093062619        0.0000004738        0.0143095099
        0.0000001654        0.0000003959        0.0994484839
        0.0000019011       -0.0543806377        0.0000022004
        0.2654270651        0.0000008330        0.0000136956
       -0.0000003649       -0.0653950974       -0.0000005377
       -0.0374313424       -0.0835073163        0.0000023536
       -0.0366895995        0.0000011880       -0.0056311268
        0.0000008330        0.2772313053        0.0025955157
        0.0715118060       -0.0000015936        0.0063151052
       -0.0343738327        0.0163471546        0.0000089312
       -0.0030782269        0.0000028231        0.0314111827
        0.0000136956        0.0025955157        0.3401465580
        0.0084502983        0.0000020324       -0.0156683339
       -0.0113664871       -0.0401518227        0.0000050878
        0.0483074251       -0.0000000904       -0.0093062619
       -0.0000003649        0.0715118060        0.0084502983
        0.1342201887       -0.0000022942       -0.0444998435
       -0.0000005596       -0.0000025688       -0.0369422531
        0.0000022388        0.0511797506        0.0000004738
       -0.0653950974       -0.0000015936        0.0000020324
       -0.0000022942        0.0766502171        0.0000005514
       -0.0175649024       -0.0126342525        0.0000039557
        0.0066914353        0.0000021268        0.0143095099
       -0.0000005377        0.0063151052       -0.0156683339
       -0.0444998435        0.0000005514        0.2104798386
