    6   12
        0.2164031093        0.0002116553        0.0065898556
        0.0000000000       -0.0002551394        0.0255504852
        0.0471654903       -0.0059813348        0.0000000000
        0.0030254603        0.0000000000        0.0000000000
        0.0002116553        0.2766490695       -0.0003059196
        0.0000000000       -0.0011859245        0.0020503504
        0.0005662753        0.0031524550        0.0000000000
       -0.0002887597        0.0000000000        0.0000000000
        0.0065898556       -0.0003059196        0.3500840694
        0.0000000000        0.0000944655        0.0007894505
       -0.0171036595        0.0040961103        0.0000000000
       -0.0000937098        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.3429334998        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0038447450
        0.0000000000        0.0182688404       -0.0006590901
       -0.0002551394       -0.0011859245        0.0000944655
        0.0000000000        0.3440102893        0.0036235105
        0.0021914906        0.0106276553        0.0000000000
       -0.0189668546        0.0000000000        0.0000000000
        0.0255504852        0.0020503504        0.0007894505
        0.0000000000        0.0036235105        0.2005095195
        0.0082488503        0.0408215752        0.0000000000
        0.0007616052        0.0000000000        0.0000000000
        0.0471654903        0.0005662753       -0.0171036595
        0.0000000000        0.0021914906        0.0082488503
        0.1346298893        0.0006424054        0.0000000000
        0.0027506255        0.0000000000        0.0000000000
       -0.0059813348        0.0031524550        0.0040961103
        0.0000000000        0.0106276553        0.0408215752
        0.0006424054        0.1521235998        0.0000000000
       -0.0049511701        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0038447450        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.1470011495
        0.0000000000       -0.0009047045       -0.0027174596
        0.0030254603       -0.0002887597       -0.0000937098
        0.0000000000       -0.0189668546        0.0007616052
        0.0027506255       -0.0049511701        0.0000000000
        0.1330014896        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0182688404        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0009047045
        0.0000000000        0.1298824191       -0.0017426396
        0.0000000000        0.0000000000        0.0000000000
       -0.0006590901        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0027174596
        0.0000000000       -0.0017426396        0.0029349394
