    6   12
        0.2162531820       -0.0000859754        0.0057055780
        0.0000000000       -0.0002791683        0.0270868810
        0.0479234825       -0.0059108419        0.0000000000
        0.0031751847        0.0000000000        0.0000000000
       -0.0000859754        0.2807571707       -0.0005422325
        0.0000000000       -0.0011622285        0.0015262108
        0.0003928432        0.0033280799        0.0000000000
       -0.0002476304        0.0000000000        0.0000000000
        0.0057055780       -0.0005422325        0.3517006439
        0.0000000000        0.0001989983        0.0007007716
       -0.0172300676        0.0042328151        0.0000000000
       -0.0001308538        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.3470647863        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0032894377
        0.0000000000        0.0182726626       -0.0006083829
       -0.0002791683       -0.0011622285        0.0001989983
        0.0000000000        0.3483182127        0.0034732130
        0.0022803812        0.0102058291        0.0000000000
       -0.0189311803        0.0000000000        0.0000000000
        0.0270868810        0.0015262108        0.0007007716
        0.0000000000        0.0034732130        0.1950069196
        0.0084907361        0.0392152069        0.0000000000
        0.0012233050        0.0000000000        0.0000000000
        0.0479234825        0.0003928432       -0.0172300676
        0.0000000000        0.0022803812        0.0084907361
        0.1318842931        0.0006279214        0.0000000000
        0.0026620069        0.0000000000        0.0000000000
       -0.0059108419        0.0033280799        0.0042328151
        0.0000000000        0.0102058291        0.0392152069
        0.0006279214        0.1506883194        0.0000000000
       -0.0040668732        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0032894377        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.1458734982
        0.0000000000       -0.0016375205       -0.0026042835
        0.0031751847       -0.0002476304       -0.0001308538
        0.0000000000       -0.0189311803        0.0012233050
        0.0026620069       -0.0040668732        0.0000000000
        0.1315241821        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0182726626        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0016375205
        0.0000000000        0.1284722009       -0.0018220933
        0.0000000000        0.0000000000        0.0000000000
       -0.0006083829        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0026042835
        0.0000000000       -0.0018220933        0.0029838793
