    5    9
        0.0478630773        0.0000003320       -0.0000000239
        0.0000010516        0.0455936413        0.0000000205
        0.0000027353       -0.0032208936       -0.0000004843
        0.0000003320        0.0478631478        0.0000002547
        0.0455937811        0.0000010562        0.0000003195
        0.0000022305       -0.0000004638       -0.0032209095
       -0.0000000239        0.0000002547        0.1344665293
        0.0000005150       -0.0000005195        0.1420370847
        0.0369405950        0.0000006048        0.0000003752
        0.0000010516        0.0455937811        0.0000005150
        0.1855283176        0.0000034061        0.0000011210
        0.0000080865       -0.0000004843       -0.0226669238
        0.0455936413        0.0000010562       -0.0000005195
        0.0000034061        0.1855280470       -0.0000001739
        0.0000113607       -0.0226668590       -0.0000004991
        0.0000000205        0.0000003195        0.1420370847
        0.0000011210       -0.0000001739        0.2717236498
        0.0338393693       -0.0000005457        0.0000006401
        0.0000027353        0.0000022305        0.0369405950
        0.0000080865        0.0000113607        0.0338393693
        0.3071168589        0.0000030400        0.0000016246
       -0.0032208936       -0.0000004638        0.0000006048
       -0.0000004843       -0.0226668590       -0.0000005457
        0.0000030400        0.1234155388        0.0000018747
       -0.0000004843       -0.0032209095        0.0000003752
       -0.0226669238       -0.0000004991        0.0000006401
        0.0000016246        0.0000018747        0.1234157685
