    5    9
        0.3836208998        0.0184417351        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0137059399        0.0000000000        0.0000000000
        0.0184417351        0.5506267496        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0553198799        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.4018082598
        0.0000168501        0.0692849454        0.0000005201
        0.0000000000       -0.0772408001       -0.0000047550
        0.0000000000        0.0000000000        0.0000168501
        0.4018082399        0.0000005204        0.0692889751
        0.0000000000       -0.0000047200        0.0772450400
        0.0000000000        0.0000000000        0.0692849454
        0.0000005204        0.1971054593        0.0000031955
        0.0000000000       -0.0380136549        0.0000011855
        0.0000000000        0.0000000000        0.0000005201
        0.0692889751        0.0000031955        0.1971054400
        0.0000000000        0.0000012099        0.0380190900
        0.0137059399       -0.0553198799        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.3838356599        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0772408001
       -0.0000047200       -0.0380136549        0.0000012099
        0.0000000000        0.3558930501        0.0000136049
        0.0000000000        0.0000000000       -0.0000047550
        0.0772450400        0.0000011855        0.0380190900
        0.0000000000        0.0000136049        0.3558930797
