    7   15
        0.0351799298        0.0005147700       -0.0000023459
        0.0153439761        0.0000007711       -0.0005150628
        0.0000025581        0.0547902383        0.0000018989
       -0.0010033908       -0.0008803134        0.0000010996
       -0.0112435457       -0.0009868390       -0.0000018987
        0.0005147700        0.0366499015       -0.0000014009
        0.0022966509        0.0000016436        0.0258605174
        0.0000026928        0.0013084387        0.0000014843
        0.0479826303        0.0043543852        0.0000039789
       -0.0000647518        0.0291725756       -0.0000036282
       -0.0000023459       -0.0000014009        0.0716386828
       -0.0000023114        0.0364730219       -0.0000002677
       -0.0910337012       -0.0000020405        0.0102514483
        0.0000005895       -0.0000023067       -0.0524198521
       -0.0000021218       -0.0000001384       -0.0145341124
        0.0153439761        0.0022966509       -0.0000023114
        0.0529306880        0.0000016314        0.0011792169
        0.0000043391        0.0829347705        0.0000017650
        0.0047602742        0.0006995478        0.0000021173
       -0.0446747076        0.0064572716       -0.0000038915
        0.0000007711        0.0000016436        0.0364730219
        0.0000016314        0.4364269716        0.0000211719
        0.0800513183       -0.0000008312       -0.0002481396
        0.0000021781        0.0000513398       -0.1508854567
       -0.0000005861        0.0000020309        0.1076814397
       -0.0005150628        0.0258605174       -0.0000002677
        0.0011792169        0.0000211719        0.3467826696
        0.0000027789       -0.0001360767        0.0000027578
       -0.0421426786       -0.1850371048        0.0000100191
       -0.0058817183       -0.0782938709       -0.0000006847
        0.0000025581        0.0000026928       -0.0910337012
        0.0000043391        0.0800513183        0.0000027789
        0.2717377379        0.0000065540       -0.0224939186
        0.0000162498        0.0000018854        0.0658549274
       -0.0000010536        0.0000016517        0.0181666924
        0.0547902383        0.0013084387       -0.0000020405
        0.0829347705       -0.0000008312       -0.0001360767
        0.0000065540        0.2839021448        0.0000012442
        0.0009366161       -0.0009918148        0.0000022580
       -0.0797302629        0.0014214419       -0.0000060587
        0.0000018989        0.0000014843        0.0102514483
        0.0000017650       -0.0002481396        0.0000027578
       -0.0224939186        0.0000012442        0.0021994089
        0.0000001182        0.0000012969       -0.0122528195
        0.0000007915        0.0000017401        0.0058457496
       -0.0010033908        0.0479826303        0.0000005895
        0.0047602742        0.0000021781       -0.0421426786
        0.0000162498        0.0009366161        0.0000001182
        0.3597017258        0.0456726053        0.0000019116
       -0.0020685117       -0.0066598375       -0.0000041337
       -0.0008803134        0.0043543852       -0.0000023067
        0.0006995478        0.0000513398       -0.1850371048
        0.0000018854       -0.0009918148        0.0000012969
        0.0456726053        0.6774240097        0.0000139282
        0.0042591935        0.0335490660       -0.0000036857
        0.0000010996        0.0000039789       -0.0524198521
        0.0000021173       -0.1508854567        0.0000100191
        0.0658549274        0.0000022580       -0.0122528195
        0.0000019116        0.0000139282        0.2491575489
        0.0000005123        0.0000037448       -0.1372880246
       -0.0112435457       -0.0000647518       -0.0000021218
       -0.0446747076       -0.0000005861       -0.0058817183
       -0.0000010536       -0.0797302629        0.0000007915
       -0.0020685117        0.0042591935        0.0000005123
        0.1060072589        0.0050189141       -0.0000029819
       -0.0009868390        0.0291725756       -0.0000001384
        0.0064572716        0.0000020309       -0.0782938709
        0.0000016517        0.0014214419        0.0000017401
       -0.0066598375        0.0335490660        0.0000037448
        0.0050189141        0.3423587029        0.0000095878
       -0.0000018987       -0.0000036282       -0.0145341124
       -0.0000038915        0.1076814397       -0.0000006847
        0.0181666924       -0.0000060587        0.0058457496
       -0.0000041337       -0.0000036857       -0.1372880246
       -0.0000029819        0.0000095878        0.2699550518
