    7   15
        0.0359981996        0.0002387151        0.0000000503
        0.0180106352       -0.0000000747        0.0015265753
        0.0000002102       -0.0598896698        0.0000000051
        0.0013734801        0.0004659454        0.0000001653
       -0.0133312348        0.0016733154        0.0000001752
        0.0002387151        0.0401331300        0.0000000651
        0.0025473400       -0.0000000499       -0.0309739200
        0.0000003899       -0.0015384350       -0.0000000050
       -0.0536510800       -0.0037629350       -0.0000001450
        0.0000524851       -0.0340378401       -0.0000001451
        0.0000000503        0.0000000651        0.0766822598
        0.0000002001       -0.0388735398        0.0000005552
        0.0991096701        0.0000008951       -0.0106922849
        0.0000029752        0.0000011502       -0.0593617747
        0.0000001953        0.0000001252       -0.0135777900
        0.0180106352        0.0025473400        0.0000002001
        0.0559553999        0.0000000051       -0.0007568798
        0.0000007600       -0.0911113050        0.0000000050
       -0.0050164850       -0.0009912499        0.0000002402
       -0.0479418750       -0.0066103149        0.0000003799
       -0.0000000747       -0.0000000499       -0.0388735398
        0.0000000051        0.4695177296        0.0000229453
        0.0868873352        0.0000002503       -0.0005383198
        0.0000023202        0.0000563452        0.1647718803
       -0.0000001347        0.0000003753       -0.1148643749
        0.0015265753       -0.0309739200        0.0000005552
       -0.0007568798        0.0000229453        0.3615703596
        0.0000000101       -0.0004879148        0.0000000101
       -0.0383864949       -0.1888609347        0.0000058003
        0.0058405001       -0.0676582248        0.0000030701
        0.0000002102        0.0000003899        0.0991096701
        0.0000007600        0.0868873352        0.0000000101
        0.2915993500        0.0000060801       -0.0242249050
        0.0000166899        0.0000006200       -0.0742909999
        0.0000008301        0.0000000151       -0.0179531801
       -0.0598896698       -0.0015384350        0.0000008951
       -0.0911113050        0.0000002503       -0.0004879148
        0.0000060801        0.3063013497        0.0000000452
        0.0010016251       -0.0007909799        0.0000012803
        0.0875623851        0.0016681751        0.0000000901
        0.0000000051       -0.0000000050       -0.0106922849
        0.0000000050       -0.0005383198        0.0000000101
       -0.0242249050        0.0000000452        0.0024546799
        0.0000001251        0.0000000051        0.0135049702
        0.0000000351        0.0000000202       -0.0075269949
        0.0013734801       -0.0536510800        0.0000029752
       -0.0050164850        0.0000023202       -0.0383864949
        0.0000166899        0.0010016251        0.0000001251
        0.3855706998        0.0445997351        0.0000042601
        0.0023472501       -0.0055195198        0.0000001451
        0.0004659454       -0.0037629350        0.0000011502
       -0.0009912499        0.0000563452       -0.1888609347
        0.0000006200       -0.0007909799        0.0000000051
        0.0445997351        0.6891908697        0.0000146902
       -0.0044263398        0.0300132402        0.0000053301
        0.0000001653       -0.0000001450       -0.0593617747
        0.0000002402        0.1647718803        0.0000058003
       -0.0742909999        0.0000012803        0.0135049702
        0.0000042601        0.0000146902        0.2634482897
        0.0000003052        0.0000010752       -0.1416910349
       -0.0133312348        0.0000524851        0.0000001953
       -0.0479418750       -0.0000001347        0.0058405001
        0.0000008301        0.0875623851        0.0000000351
        0.0023472501       -0.0044263398        0.0000003052
        0.1115735998       -0.0053099899        0.0000000649
        0.0016733154       -0.0340378401        0.0000001252
       -0.0066103149        0.0000003753       -0.0676582248
        0.0000000151        0.0016681751        0.0000000202
       -0.0055195198        0.0300132402        0.0000010752
       -0.0053099899        0.3585377897        0.0000143601
        0.0000001752       -0.0000001451       -0.0135777900
        0.0000003799       -0.1148643749        0.0000030701
       -0.0179531801        0.0000000901       -0.0075269949
        0.0000001451        0.0000053301       -0.1416910349
        0.0000000649        0.0000143601        0.2750796500
