    6   12
        0.0086338801        0.0000001100        0.0000000399
       -0.0000000100        0.0000000099        0.0000000900
        0.0000000500        0.0000000249        0.0000000500
        0.0000001600        0.0000001850        0.0000002200
        0.0000001100        0.0123708199        0.0000001000
       -0.0000000300        0.0000000101        0.0000000101
       -0.0000000099        0.0000000200        0.0000000000
        0.0000001901        0.0000002250        0.0000001000
        0.0000000399        0.0000001000        0.2455343599
        0.0000015201        0.0000095100        0.0000041601
       -0.0000001199        0.0000067750        0.0000053301
        0.1213819750        0.0000004150        0.0000000601
       -0.0000000100       -0.0000000300        0.0000015201
        0.3764710500        0.0000037700        0.0000014800
       -0.0000002250        0.0642644299        0.0000023400
        0.0000014450       -0.2344451600        0.0000001750
        0.0000000099        0.0000000101        0.0000095100
        0.0000037700        0.3798224000        0.0000078801
       -0.0000001400        0.0000133250        0.0000102700
        0.0000091600        0.0000009600       -0.0626567000
        0.0000000900        0.0000000101        0.0000041601
        0.0000014800        0.0000078801        0.2161614199
       -0.0000000600        0.0000060500        0.1403180001
        0.0000041601        0.0000002500        0.0000001451
        0.0000000500       -0.0000000099       -0.0000001199
       -0.0000002250       -0.0000001400       -0.0000000600
        0.0324962599       -0.0000000350       -0.0000000399
       -0.0000000099        0.0000000200       -0.0000002599
        0.0000000249        0.0000000200        0.0000067750
        0.0642644299        0.0000133250        0.0000060500
       -0.0000000350        0.3358118300        0.0000080950
        0.0000068600        0.1094958550        0.0000006350
        0.0000000500        0.0000000000        0.0000053301
        0.0000023400        0.0000102700        0.1403180001
       -0.0000000399        0.0000080950        0.2847216200
        0.0000054101        0.0000005450        0.0000005100
        0.0000001600        0.0000001901        0.1213819750
        0.0000014450        0.0000091600        0.0000041601
       -0.0000000099        0.0000068600        0.0000054101
        0.2963839199        0.0000010350       -0.0000000449
        0.0000001850        0.0000002250        0.0000004150
       -0.2344451600        0.0000009600        0.0000002500
        0.0000000200        0.1094958550        0.0000005450
        0.0000010350        0.4554631001        0.0000034451
        0.0000002200        0.0000001000        0.0000000601
        0.0000001750       -0.0626567000        0.0000001451
       -0.0000002599        0.0000006350        0.0000005100
       -0.0000000449        0.0000034451        0.1233067999
