    6   12
        0.0086338801        0.0000001199        0.0000002400
        0.0000001800        0.0000002998        0.0000001199
       -0.0000000401        0.0000003399       -0.0000000900
        0.0000005001        0.0000003050        0.0000002800
        0.0000001199        0.0123708401       -0.0000000200
        0.0000001450        0.0000002699        0.0000003499
       -0.0000001101        0.0000007449        0.0000001600
        0.0000000800        0.0000003750        0.0000001700
        0.0000002400       -0.0000000200        0.2455345799
        0.0000028800        0.0000108899        0.0000041800
       -0.0000003200        0.0000083950        0.0000076700
        0.1213819201        0.0000012850       -0.0000000099
        0.0000001800        0.0000001450        0.0000028800
        0.3764714700        0.0000038700        0.0000006099
        0.0000000850        0.0642637550        0.0000020051
        0.0000024801        0.2345023950        0.0000001100
        0.0000002998        0.0000002699        0.0000108899
        0.0000038700        0.3798229201        0.0000074199
       -0.0000002001        0.0000125349        0.0000125800
        0.0000093100        0.0000015149       -0.0626567301
        0.0000001199        0.0000003499        0.0000041800
        0.0000006099        0.0000074199        0.2161627401
       -0.0000003051        0.0000056649       -0.1403095200
        0.0000030900       -0.0000005851       -0.0000002301
       -0.0000000401       -0.0000001101       -0.0000003200
        0.0000000850       -0.0000002001       -0.0000003051
        0.0324964401        0.0000015950       -0.0000002100
        0.0000003200        0.0000001850       -0.0000002001
        0.0000003399        0.0000007449        0.0000083950
        0.0642637550        0.0000125349        0.0000056649
        0.0000015950        0.3358128900        0.0000068250
        0.0000064651       -0.1094898400        0.0000001850
       -0.0000000900        0.0000001600        0.0000076700
        0.0000020051        0.0000125800       -0.1403095200
       -0.0000002100        0.0000068250        0.2847230999
        0.0000045200        0.0000009200        0.0000000101
        0.0000005001        0.0000000800        0.1213819201
        0.0000024801        0.0000093100        0.0000030900
        0.0000003200        0.0000064651        0.0000045200
        0.2963847399        0.0000038101       -0.0000003399
        0.0000003050        0.0000003750        0.0000012850
        0.2345023950        0.0000015149       -0.0000005851
        0.0000001850       -0.1094898400        0.0000009200
        0.0000038101        0.4554634501        0.0000034900
        0.0000002800        0.0000001700       -0.0000000099
        0.0000001100       -0.0626567301       -0.0000002301
       -0.0000002001        0.0000001850        0.0000000101
       -0.0000003399        0.0000034900        0.1233072800
