    5   15
        0.5470962547        0.0000000000       -0.0000000000
       -0.0452484415       -0.0000000000        0.0000000000
       -0.0452484415       -0.0000000000        0.0000000000
       -0.2282996859        0.0000000000        0.1294367762
       -0.2282996859        0.0000000000       -0.1294367762
       -0.0000000000        0.5470962547        0.0000000000
        0.0000000000       -0.2282996859        0.1294367762
       -0.0000000000       -0.2282996859       -0.1294367762
        0.0000000000       -0.0452484415       -0.0000000000
        0.0000000000       -0.0452484415       -0.0000000000
       -0.0000000000        0.0000000000        0.5470962547
        0.0000000000        0.1294367762       -0.1367740637
       -0.0000000000       -0.1294367762       -0.1367740637
        0.1294367762       -0.0000000000       -0.1367740637
       -0.1294367762        0.0000000000       -0.1367740637
       -0.0452484415        0.0000000000        0.0000000000
        0.0451474577        0.0000000000       -0.0000000000
       -0.0019058989       -0.0000000000       -0.0000000000
        0.0010034413       -0.0235266783        0.0145786596
        0.0010034413        0.0235266783       -0.0145786596
        0.0000000000       -0.2282996859        0.1294367762
        0.0000000000        0.2459077338       -0.1419589526
        0.0000000000       -0.0196149306        0.0166351427
       -0.0000010339        0.0010034413       -0.0020564832
        0.0000010339        0.0010034413       -0.0020564832
        0.0000000000        0.1294367762       -0.1367740637
       -0.0000000000       -0.1419589526        0.1455275958
       -0.0000000000       -0.0166351427        0.0127672974
       -0.0020564832        0.0145786596       -0.0107604148
        0.0020564832        0.0145786596       -0.0107604148
       -0.0452484415       -0.0000000000       -0.0000000000
       -0.0019058989        0.0000000000       -0.0000000000
        0.0451474577        0.0000000000        0.0000000000
        0.0010034413        0.0235266783        0.0145786596
        0.0010034413       -0.0235266783       -0.0145786596
       -0.0000000000       -0.2282996859       -0.1294367762
       -0.0000000000       -0.0196149306       -0.0166351427
        0.0000000000        0.2459077338        0.1419589526
        0.0000010339        0.0010034413        0.0020564832
       -0.0000010339        0.0010034413        0.0020564832
        0.0000000000       -0.1294367762       -0.1367740637
       -0.0000000000        0.0166351427        0.0127672974
        0.0000000000        0.1419589526        0.1455275958
       -0.0020564832       -0.0145786596       -0.0107604148
        0.0020564832       -0.0145786596       -0.0107604148
       -0.2282996859        0.0000000000        0.1294367762
        0.0010034413       -0.0000010339       -0.0020564832
        0.0010034413        0.0000010339       -0.0020564832
        0.2459077338       -0.0000000000       -0.1419589526
       -0.0196149306        0.0000000000        0.0166351427
        0.0000000000       -0.0452484415       -0.0000000000
       -0.0235266783        0.0010034413        0.0145786596
        0.0235266783        0.0010034413       -0.0145786596
       -0.0000000000        0.0451474577        0.0000000000
        0.0000000000       -0.0019058989        0.0000000000
        0.1294367762       -0.0000000000       -0.1367740637
        0.0145786596       -0.0020564832       -0.0107604148
        0.0145786596        0.0020564832       -0.0107604148
       -0.1419589526        0.0000000000        0.1455275958
       -0.0166351427       -0.0000000000        0.0127672974
       -0.2282996859        0.0000000000       -0.1294367762
        0.0010034413        0.0000010339        0.0020564832
        0.0010034413       -0.0000010339        0.0020564832
       -0.0196149306        0.0000000000       -0.0166351427
        0.2459077338       -0.0000000000        0.1419589526
        0.0000000000       -0.0452484415        0.0000000000
        0.0235266783        0.0010034413        0.0145786596
       -0.0235266783        0.0010034413       -0.0145786596
        0.0000000000       -0.0019058989       -0.0000000000
       -0.0000000000        0.0451474577       -0.0000000000
       -0.1294367762       -0.0000000000       -0.1367740637
       -0.0145786596       -0.0020564832       -0.0107604148
       -0.0145786596        0.0020564832       -0.0107604148
        0.0166351427        0.0000000000        0.0127672974
        0.1419589526       -0.0000000000        0.1455275958
