    6   12
        0.0188325384       -0.0000001251        0.0000015007
       -0.0000002572        0.0000006160       -0.0000007105
        0.0000002380        0.0000012061        0.0000023621
       -0.0000003475        0.0000007934       -0.0000012305
       -0.0000001251        0.0123938568        0.0000007373
       -0.0000001607       -0.0000014637        0.0000012145
        0.0024080445       -0.0000010759        0.0000006405
        0.0000017391        0.0000006698       -0.0000002390
        0.0000015007        0.0000007373        0.3462454328
        0.0434826391        0.0000226783        0.0000075356
        0.0000000203        0.2397156877        0.0000139111
       -0.1673500967       -0.0523840163       -0.0000005333
       -0.0000002572       -0.0000001607        0.0434826391
        0.2408117393        0.0000062349        0.0000044116
       -0.0000022227       -0.0191596563        0.0000040512
       -0.0249429108       -0.0147348506        0.0000011475
        0.0000006160       -0.0000014637        0.0000226783
        0.0000062349        0.5487087998        0.1309312526
       -0.0000019357        0.0000304316        0.2310986645
        0.0000123627        0.0000019945       -0.1010828476
       -0.0000007105        0.0000012145        0.0000075356
        0.0000044116        0.1309312526        0.3139603746
       -0.0000007925        0.0000129049        0.2025749605
        0.0000075239        0.0000018416       -0.0465527300
        0.0000002380        0.0024080445        0.0000000203
       -0.0000022227       -0.0000019357       -0.0000007925
        0.0045194139       -0.0000003485       -0.0000001909
       -0.0000007832       -0.0000013392       -0.0000013721
        0.0000012061       -0.0000010759        0.2397156877
       -0.0191596563        0.0000304316        0.0000129049
       -0.0000003485        0.5579875156        0.0000223605
       -0.1451158323       -0.1280600205       -0.0000002102
        0.0000023621        0.0000006405        0.0000139111
        0.0000040512        0.2310986645        0.2025749605
       -0.0000001909        0.0000223605        0.4427840597
        0.0000089297        0.0000026552       -0.0201123618
       -0.0000003475        0.0000017391       -0.1673500967
       -0.0249429108        0.0000123627        0.0000075239
       -0.0000007832       -0.1451158323        0.0000089297
        0.3871992757        0.0835358030        0.0000029111
        0.0000007934        0.0000006698       -0.0523840163
       -0.0147348506        0.0000019945        0.0000018416
       -0.0000013392       -0.1280600205        0.0000026552
        0.0835358030        0.2711460647        0.0000060837
       -0.0000012305       -0.0000002390       -0.0000005333
        0.0000011475       -0.1010828476       -0.0465527300
       -0.0000013721       -0.0000002102       -0.0201123618
        0.0000029111        0.0000060837        0.1172475984
