    6   12
        0.0112212803       -0.0030025703        0.0000001098
        0.0000002549        0.0000005798        0.0000002649
       -0.0030742603        0.0000004847        0.0000005149
        0.0000004198        0.0000004349        0.0000005200
       -0.0030025703        0.0168761403       -0.0000001602
        0.0000003598        0.0000002198        0.0000004199
        0.0031993696        0.0000008698        0.0000008949
        0.0000000648        0.0000005200        0.0000003499
        0.0000001098       -0.0000001602        0.2444050602
        0.0129190698       -0.0166702901        0.0108451948
       -0.0000004403       -0.0141751752        0.0344184998
        0.1145133199       -0.0433820652       -0.0198126551
        0.0000002549        0.0000003598        0.0129190698
        0.4022520400       -0.0056895601       -0.0393834500
        0.0000001198       -0.0573243101       -0.0131400751
        0.0022768550       -0.2212854000       -0.0275333599
        0.0000005798        0.0000002198       -0.0166702901
       -0.0056895601        0.3791291002        0.0299916648
        0.0000006997        0.0092303199        0.0501923999
       -0.0004185051       -0.0054812502        0.0754514849
        0.0000002649        0.0000004199        0.0108451948
       -0.0393834500        0.0299916648        0.2649312000
        0.0000004347       -0.0700833601       -0.1147558501
        0.0065579250       -0.0052098200       -0.0065050200
       -0.0030742603        0.0031993696       -0.0000004403
        0.0000001198        0.0000006997        0.0000004347
        0.0332307803        0.0000013698        0.0000002397
        0.0000001397        0.0000003148       -0.0000001401
        0.0000004847        0.0000008698       -0.0141751752
       -0.0573243101        0.0092303199       -0.0700833601
        0.0000013698        0.3304079303       -0.0402510803
        0.0092720499       -0.0944819702       -0.0199176250
        0.0000005149        0.0000008949        0.0344184998
       -0.0131400751        0.0501923999       -0.1147558501
        0.0000002397       -0.0402510803        0.3391897101
        0.0110633799        0.0780098649        0.0156393850
        0.0000004198        0.0000000648        0.1145133199
        0.0022768550       -0.0004185051        0.0065579250
        0.0000001397        0.0092720499        0.0110633799
        0.3237317901       -0.0190191849        0.0392371700
        0.0000004349        0.0000005200       -0.0433820652
       -0.2212854000       -0.0054812502       -0.0052098200
        0.0000003148       -0.0944819702        0.0780098649
       -0.0190191849        0.4428491800        0.0735474001
        0.0000005200        0.0000003499       -0.0198126551
       -0.0275333599        0.0754514849       -0.0065050200
       -0.0000001401       -0.0199176250        0.0156393850
        0.0392371700        0.0735474001        0.1536761800
