    7   21
        0.5881181578       -0.0527397119       -0.0000018013
       -0.1152327232       -0.0695627547        0.0000076601
        0.0154704073        0.0193742905       -0.0000030318
       -0.0285874875       -0.0204922758       -0.0000010920
       -0.3217216514        0.0465156703        0.0000003462
       -0.0690227481        0.0384540632       -0.0629474023
       -0.0690239549        0.0384507185        0.0629453212
       -0.0527397119        0.5035416319        0.0000038217
       -0.0646181814       -0.1778987896        0.0000071506
       -0.0082369847       -0.0423587094       -0.0000024707
        0.0060902442        0.0024754044       -0.0000022539
        0.0400171507       -0.0546710056       -0.0000011691
        0.0397430201       -0.1155423313        0.1193697254
        0.0397444631       -0.1155462004       -0.1193748040
       -0.0000018013        0.0000038217        0.5471928010
       -0.0000007218       -0.0000004470       -0.0819527286
       -0.0000013438        0.0000007940        0.0260516209
        0.0000029546        0.0000000049        0.0095448427
        0.0000011623       -0.0000006114       -0.0488002188
       -0.0641031010        0.1204051141       -0.2260169365
        0.0641028510       -0.1204086763       -0.2260193806
       -0.1152327232       -0.0646181814       -0.0000007218
        0.4005118312       -0.1633064408        0.0000077489
       -0.1997930097        0.2398460641       -0.0000037056
       -0.0799393707       -0.0086485639       -0.0000012545
       -0.0161061497       -0.0296745044        0.0000010101
        0.0052794018        0.0132020352       -0.0016489818
        0.0052800203        0.0131995913        0.0016459048
       -0.0695627547       -0.1778987896       -0.0000004470
       -0.1633064408        0.9576213573       -0.0000009816
        0.2811943211       -0.7123305819        0.0000002606
       -0.0407652589       -0.0366911226        0.0000015654
        0.0061856177        0.0033592177        0.0000017089
       -0.0068721245       -0.0170289411       -0.0023870333
       -0.0068733599       -0.0170311399        0.0023849270
        0.0000076601        0.0000071506       -0.0819527286
        0.0000077489       -0.0000009816        0.1785477315
       -0.0000004455        0.0000012648       -0.0620970544
       -0.0000124775       -0.0000019483       -0.0354797057
        0.0000001095       -0.0000024346       -0.0016525385
        0.0150804393        0.0258778230        0.0013180575
       -0.0150830348       -0.0258808738        0.0013162382
        0.0154704073       -0.0082369847       -0.0000013438
       -0.1997930097        0.2811943211       -0.0000004455
        0.2312197421       -0.3096123829        0.0000010343
       -0.0497485086        0.0418555561        0.0000000404
        0.0032230264        0.0018831277        0.0000003797
       -0.0001858491       -0.0035409955        0.0005697520
       -0.0001858083       -0.0035426419       -0.0005694171
        0.0193742905       -0.0423587094        0.0000007940
        0.2398460641       -0.7123305819        0.0000012648
       -0.3096123829        0.7653643190       -0.0000026446
        0.0517866160       -0.0060462404        0.0000003016
        0.0010864155        0.0024273513       -0.0000002005
       -0.0012398806       -0.0035302498       -0.0013384142
       -0.0012411225       -0.0035258888        0.0013388990
       -0.0000030318       -0.0000024707        0.0260516209
       -0.0000037056        0.0000002606       -0.0620970544
        0.0000010343       -0.0000026446        0.0245043139
        0.0000054032        0.0000018976        0.0139323984
       -0.0000004893        0.0000014850       -0.0006811617
       -0.0020611455       -0.0038804109       -0.0008552179
        0.0020619347        0.0038818830       -0.0008548993
       -0.0285874875        0.0060902442        0.0000029546
       -0.0799393707       -0.0407652589       -0.0000124775
       -0.0497485086        0.0517866160        0.0000054032
        0.1639841061       -0.0096332788        0.0000016164
       -0.0018900882       -0.0054203784       -0.0000023612
       -0.0019092093       -0.0010316990        0.0004150906
       -0.0019094419       -0.0010262450       -0.0004102260
       -0.0204922758        0.0024754044        0.0000000049
       -0.0086485639       -0.0366911226       -0.0000019483
        0.0418555561       -0.0060462404        0.0000018976
       -0.0096332788        0.0407266297       -0.0000005397
       -0.0027029319       -0.0027907905       -0.0000008798
       -0.0001897406        0.0011632501       -0.0005973232
       -0.0001887649        0.0011628693        0.0005987884
       -0.0000010920       -0.0000022539        0.0095448427
       -0.0000012545        0.0000015654       -0.0354797057
        0.0000000404        0.0000003016        0.0139323984
        0.0000016164       -0.0000005397        0.0092251501
        0.0000002242        0.0000000322        0.0018130144
       -0.0004238679       -0.0019156787        0.0004817455
        0.0004243333        0.0019165731        0.0004825547
       -0.3217216514        0.0400171507        0.0000011623
       -0.0161061497        0.0061856177        0.0000001095
        0.0032230264        0.0010864155       -0.0000004893
       -0.0018900882       -0.0027029319        0.0000002242
        0.3456763457       -0.0439033251        0.0000000471
       -0.0045907488       -0.0003415447        0.0016409909
       -0.0045907340       -0.0003413822       -0.0016420447
        0.0465156703       -0.0546710056       -0.0000006114
       -0.0296745044        0.0033592177       -0.0000024346
        0.0018831277        0.0024273513        0.0000014850
       -0.0054203784       -0.0027907905        0.0000000322
       -0.0439033251        0.0557196617       -0.0000000877
