    7   15
        0.0341283305        0.0000001751        0.0000000847
       -0.0184354053        0.0000002245       -0.0000001103
        0.0000006793       -0.0626103099        0.0000012244
       -0.0070628602        0.0000004150        0.0000002797
       -0.0175507500        0.0000003598        0.0000002149
        0.0000001751        0.0585184409       -0.0083711001
        0.0000002450        0.0160822839        0.0483523701
        0.0746333347        0.0000018997       -0.0310777108
        0.0000003752       -0.0070261206        0.0412639395
        0.0000002495        0.0260736289        0.0012337796
        0.0000000847       -0.0083711001        0.0577381309
        0.0000001847       -0.0072750908        0.0186394601
       -0.0593907760        0.0000004303       -0.0517497756
        0.0000001597       -0.0030219604       -0.0437789754
       -0.0000006048        0.0269105243        0.0240526799
       -0.0184354053        0.0000002450        0.0000001847
        0.0474305807        0.0000007992        0.0000003848
        0.0000012295        0.0806889648        0.0000023647
        0.0239527748        0.0000005997        0.0000007549
        0.0439298600        0.0000003291        0.0000003399
        0.0000002245        0.0160822839       -0.0072750908
        0.0000007992        0.3101806817        0.2177355094
       -0.0671172813        0.0000009743        0.0420352495
        0.0000007094        0.1241722396        0.1936231843
       -0.0000003803       -0.0799165309        0.0615559992
       -0.0000001103        0.0483523701        0.0186394601
        0.0000003848        0.2177355094        0.4399064903
       -0.0134309204       -0.0000000745        0.0482372201
        0.0000004150        0.1082179051        0.2181906399
       -0.0000009197       -0.0671039601        0.0650379849
        0.0000006793        0.0746333347       -0.0593907760
        0.0000012295       -0.0671172813       -0.0134309204
        0.2843581512        0.0000076693       -0.0033724058
        0.0000013142       -0.0610518407        0.0614306146
       -0.0000004354        0.0152580594       -0.0048095501
       -0.0626103099        0.0000018997        0.0000004303
        0.0806889648        0.0000009743       -0.0000000745
        0.0000076693        0.2981236003        0.0000163749
        0.0412176252       -0.0000000847        0.0000019395
        0.0823219000        0.0000007145       -0.0000001347
        0.0000012244       -0.0310777108       -0.0517497756
        0.0000023647        0.0420352495        0.0482372201
       -0.0033724058        0.0000163749        0.3734093309
        0.0000010749        0.0071184201        0.0362518944
        0.0000013648       -0.0014007458        0.0141392547
       -0.0070628602        0.0000003752        0.0000001597
        0.0239527748        0.0000007094        0.0000004150
        0.0000013142        0.0412176252        0.0000010749
        0.0168791007        0.0000004650        0.0000006997
        0.0337441202        0.0000000193        0.0000003752
        0.0000004150       -0.0070261206       -0.0030219604
        0.0000005997        0.1241722396        0.1082179051
       -0.0610518407       -0.0000000847        0.0071184201
        0.0000004650        0.2954704507        0.1590718097
       -0.0000016752       -0.0312775006       -0.0139455256
        0.0000002797        0.0412639395       -0.0437789754
        0.0000007549        0.1936231843        0.2181906399
        0.0614306146        0.0000019395        0.0362518944
        0.0000006997        0.1590718097        0.4021829409
       -0.0000020100       -0.1318933062        0.0934282349
       -0.0175507500        0.0000002495       -0.0000006048
        0.0439298600       -0.0000003803       -0.0000009197
       -0.0000004354        0.0823219000        0.0000013648
        0.0337441202       -0.0000016752       -0.0000020100
        0.0932561602       -0.0000020202        0.0000000756
        0.0000003598        0.0260736289        0.0269105243
        0.0000003291       -0.0799165309       -0.0671039601
        0.0152580594        0.0000007145       -0.0014007458
        0.0000000193       -0.0312775006       -0.1318933062
       -0.0000020202        0.3193139014        0.0218305200
        0.0000002149        0.0012337796        0.0240526799
        0.0000003399        0.0615559992        0.0650379849
       -0.0048095501       -0.0000001347        0.0141392547
        0.0000003752       -0.0139455256        0.0934282349
        0.0000000756        0.0218305200        0.2449247404
