    7   15
        0.0305934009       -0.0000017238       -0.0000023273
       -0.0140821287       -0.0000013871        0.0000003749
       -0.0000001720       -0.0502678026       -0.0043141380
       -0.0000009817       -0.0000031899       -0.0000001076
        0.0130719712        0.0000007866       -0.0000006199
       -0.0000017238        0.0574605258       -0.0081043170
       -0.0000026242       -0.0317276267        0.0341246964
       -0.0729215496       -0.0000012399       -0.0000035652
       -0.0221780461       -0.0046306712       -0.0457685881
       -0.0000034188       -0.0173385460       -0.0041534332
       -0.0000023273       -0.0081043170        0.0538206282
       -0.0000053106        0.0047236109        0.0241738461
        0.0464813549       -0.0000038716       -0.0000038916
       -0.0508210162        0.0071691574        0.0301490635
       -0.0000055243       -0.0315514205        0.0247955930
       -0.0140821287       -0.0000026242       -0.0000053106
        0.0472574052       -0.0000047231       -0.0000046920
        0.0000003834        0.0770585983       -0.0027656459
       -0.0000013718       -0.0000064109       -0.0000048605
       -0.0468313854       -0.0000044888       -0.0000047946
       -0.0000013871       -0.0317276267        0.0047236109
       -0.0000047231        0.4242918388       -0.1584266832
       -0.0735400781       -0.0000062126       -0.0000029564
       -0.0382951377        0.1525405010        0.1880742489
       -0.0000063370       -0.0878997709       -0.0880866399
        0.0000003749        0.0341246964        0.0241738461
       -0.0000046920       -0.1584266832        0.3536224426
       -0.0012277650       -0.0000048703       -0.0000017096
        0.0453225620       -0.1755558806       -0.1204066359
       -0.0000031598        0.0611373464        0.0175477030
       -0.0000001720       -0.0729215496        0.0464813549
        0.0000003834       -0.0735400781       -0.0012277650
        0.2666722267        0.0000029019       -0.0000018336
        0.0005836907       -0.0332300617        0.0646334281
       -0.0000035085        0.0134086254        0.0158148555
       -0.0502678026       -0.0000012399       -0.0000038716
        0.0770585983       -0.0000062126       -0.0000048703
        0.0000029019        0.2749881997        0.0121311443
        0.0000157635       -0.0000045537       -0.0000031842
       -0.0845672217       -0.0000024144       -0.0000031167
       -0.0043141380       -0.0000035652       -0.0000038916
       -0.0027656459       -0.0000029564       -0.0000017096
       -0.0000018336        0.0121311443        0.0034535182
       -0.0000017184       -0.0000033123       -0.0000027832
        0.0039619179       -0.0000027033       -0.0000022501
       -0.0000009817       -0.0221780461       -0.0508210162
       -0.0000013718       -0.0382951377        0.0453225620
        0.0005836907        0.0000157635       -0.0000017184
        0.3507629432       -0.0353382514       -0.0313921495
       -0.0000011717       -0.0018494801        0.0112500425
       -0.0000031899       -0.0046306712        0.0071691574
       -0.0000064109        0.1525405010       -0.1755558806
       -0.0332300617       -0.0000045537       -0.0000033123
       -0.0353382514        0.5286885869        0.1777850379
       -0.0000062596       -0.0588709042       -0.0042900329
       -0.0000001076       -0.0457685881        0.0301490635
       -0.0000048605        0.1880742489       -0.1204066359
        0.0646334281       -0.0000031842       -0.0000027832
       -0.0313921495        0.1777850379        0.3171095153
       -0.0000039719       -0.0950392185       -0.1127346412
        0.0130719712       -0.0000034188       -0.0000055243
       -0.0468313854       -0.0000063370       -0.0000031598
       -0.0000035085       -0.0845672217        0.0039619179
       -0.0000011717       -0.0000062596       -0.0000039719
        0.1013774147       -0.0000049162       -0.0000022881
        0.0000007866       -0.0173385460       -0.0315514205
       -0.0000044888       -0.0878997709        0.0611373464
        0.0134086254       -0.0000024144       -0.0000027033
       -0.0018494801       -0.0588709042       -0.0950392185
       -0.0000049162        0.3262228449       -0.0346508334
       -0.0000006199       -0.0041534332        0.0247955930
       -0.0000047946       -0.0880866399        0.0175477030
        0.0158148555       -0.0000031167       -0.0000022501
        0.0112500425       -0.0042900329       -0.1127346412
       -0.0000022881       -0.0346508334        0.2430055730
