    8   18
        0.3230999999        0.0324000000        0.0235999998
       -0.0023000000        0.0009999999       -0.0018000000
        0.0000000000        0.0314500001        0.0295500000
        0.0052000001        0.0340999999        0.0058500000
        0.0000000000       -0.0055500000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0324000000        0.9040000000        0.0774499999
       -0.0064000000       -0.0003500000        0.0005000000
        0.0000000000       -0.0196000001       -0.0624499999
        0.0025000001        0.0047999998       -0.0075000000
        0.0000000000       -0.0012000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0235999998        0.0774499999        0.4139000001
        0.0073999999        0.0005000000        0.0002499999
        0.0000000000       -0.0442000000        0.0350000001
        0.0364000000        0.0059499999        0.0066499999
        0.0000000000        0.0022000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0023000000       -0.0064000000        0.0073999999
        0.5349000000        0.0001500000        0.0000500000
        0.0000000000        0.0107500000        0.0114500001
        0.0289000000       -0.0001500001        0.0025000000
        0.0000000000       -0.0004499999        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0009999999       -0.0003500000        0.0005000000
        0.0001500000        0.3813999999        0.0046500000
        0.0000000000        0.0020000002       -0.0000999999
        0.0005000003       -0.0111999999        0.0003000001
        0.0000000000        0.0013000002        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0018000000        0.0005000000        0.0002499999
        0.0000500000        0.0046500000        0.3856999999
        0.0000000000       -0.0066999999        0.0110500001
        0.0007500002        0.0006500001        0.0152500000
        0.0000000000       -0.0152999999        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.3784000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0172000000        0.0000000000        0.0168000000
       -0.0009000001        0.0009999999       -0.0053000002
        0.0314500001       -0.0196000001       -0.0442000000
        0.0107500000        0.0020000002       -0.0066999999
        0.0000000000        0.2764999999        0.0425500001
        0.0244000000        0.0080000000       -0.0187999999
        0.0000000000       -0.0046000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0295500000       -0.0624499999        0.0350000001
        0.0114500001       -0.0000999999        0.0110500001
        0.0000000000        0.0425500001        0.2473999999
        0.0371500002        0.0039500000        0.0352500001
        0.0000000000        0.0050500000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0052000001        0.0025000001        0.0364000000
        0.0289000000        0.0005000003        0.0007500002
        0.0000000000        0.0244000000        0.0371500002
        0.1769999997        0.0019500000        0.0066000001
        0.0000000000        0.0004500002        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0340999999        0.0047999998        0.0059499999
       -0.0001500001       -0.0111999999        0.0006500001
        0.0000000000        0.0080000000        0.0039500000
        0.0019500000        0.1330000001        0.0009499999
        0.0000000000       -0.0012000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0058500000       -0.0075000000        0.0066499999
        0.0025000000        0.0003000001        0.0152500000
        0.0000000000       -0.0187999999        0.0352500001
        0.0066000001        0.0009499999        0.1516999998
        0.0000000000        0.0045000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0172000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.1377999996        0.0000000000       -0.0043999998
       -0.0019999999       -0.0033999999       -0.0281999999
       -0.0055500000       -0.0012000000        0.0022000000
       -0.0004499999        0.0013000002       -0.0152999999
        0.0000000000       -0.0046000000        0.0050500000
        0.0004500002       -0.0012000000        0.0045000000
        0.0000000000        0.1265999998        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0168000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0043999998        0.0000000000        0.1285999997
        0.0013500001       -0.0036999998        0.0038000002
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0009000001        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0019999999        0.0000000000        0.0013500001
        0.0222000000       -0.0009000001        0.0014999998
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0009999999        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0033999999        0.0000000000       -0.0036999998
       -0.0009000001        0.0008000001       -0.0029000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0053000002        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0281999999        0.0000000000        0.0038000002
        0.0014999998       -0.0029000000        0.1542000001
