    4    6
        0.4548723683       -0.0021720200        0.0013808117
        0.0134052231       -0.0039798479        0.0243242720
       -0.0021720200        0.4569781645        0.0008862000
       -0.0119699514        0.0164237998        0.0152911970
        0.0013808117        0.0008862000        0.4578296389
        0.0152357436        0.0164222014       -0.0093888463
        0.0134052231       -0.0119699514        0.0152357436
        0.1584324601        0.0000072821        0.0000050023
       -0.0039798479        0.0164237998        0.0164222014
        0.0000072821        0.1584223026        0.0000045391
        0.0243242720        0.0152911970       -0.0093888463
        0.0000050023        0.0000045391        0.0272576119
