    4    6
        0.4781116900       -0.0046101950        0.0028669500
        0.0133737250       -0.0039749150        0.0237213751
       -0.0046101950        0.4825619501        0.0018175900
       -0.0119471751        0.0163786950        0.0149117950
        0.0028669500        0.0018175900        0.4843764200
        0.0151908150        0.0163789650       -0.0091561550
        0.0133737250       -0.0119471751        0.0151908150
        0.1592984901        0.0000044649        0.0000040750
       -0.0039749150        0.0163786950        0.0163789650
        0.0000044649        0.1592984700        0.0000043800
        0.0237213751        0.0149117950       -0.0091561550
        0.0000040750        0.0000043800        0.0272466000
