    4    6
        0.4530024911        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0302168208
        0.0000000000        0.4584229583        0.0000228643
        0.0117760619        0.0204021552        0.0000000000
        0.0000000000        0.0000228643        0.4584113356
        0.0203930834       -0.0117708634        0.0000000000
        0.0000000000        0.0117760619        0.0203930834
        0.1584055261        0.0000071073        0.0000000000
        0.0000000000        0.0204021552       -0.0117708634
        0.0000071073        0.1583949302        0.0000000000
        0.0302168208        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0272517474
