    4    6
        0.4486324400        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0297825750
        0.0000000000        0.4546164200        0.0000191901
        0.0120880300        0.0209384850        0.0000000000
        0.0000000000        0.0000191901        0.4546161500
        0.0209383950       -0.0120907800        0.0000000000
        0.0000000000        0.0120880300        0.0209383950
        0.1613340700        0.0000042900        0.0000000000
        0.0000000000        0.0209384850       -0.0120907800
        0.0000042900        0.1613341200        0.0000000000
        0.0297825750        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0284942200
