    4    6
        0.0451153500       -0.0000017650        0.0000006050
        0.0967057700        0.0000014000        0.0000027600
       -0.0000017650        0.3133880001        0.0000052550
        0.0000135250        0.0000060000       -0.1884882100
        0.0000006050        0.0000052550        0.3133851600
        0.0000212301       -0.1884879650        0.0000026900
        0.0967057700        0.0000135250        0.0000212301
        0.4541823300        0.0000138500        0.0000193800
        0.0000014000        0.0000060000       -0.1884879650
        0.0000138500        0.2811625100        0.0000043100
        0.0000027600       -0.1884882100        0.0000026900
        0.0000193800        0.0000043100        0.2811622700
