    8   18
        0.3266717502        0.0182861100       -0.0069665300
       -0.0022898051        0.0153461400       -0.0027982450
        0.0000000000        0.0601057899       -0.0202582302
       -0.0040289551       -0.0716421401       -0.0005488852
        0.0000000000        0.0043441500        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0182861100        0.4255390201        0.0818366100
        0.0137052501       -0.0052591601        0.0028367900
        0.0000000000        0.0608686700        0.0303394049
       -0.0429372150        0.0102503900       -0.0037695752
        0.0000000000        0.0085187000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0069665300        0.0818366100        0.8580769503
        0.0219561200        0.0017768799       -0.0021598301
        0.0000000000       -0.0014134051        0.0390838348
        0.0392959799       -0.0071235402        0.0024943698
        0.0000000000       -0.0028944351        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0022898051        0.0137052501        0.0219561200
        0.3385088002        0.0000683100        0.0000543500
        0.0000000000        0.0034052300       -0.0175882101
       -0.0068614800       -0.0008479151       -0.0003256551
        0.0000000000        0.0012442050        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0153461400       -0.0052591601        0.0017768799
        0.0000683100        0.3538352101        0.0038622100
        0.0000000000       -0.0028923401       -0.0012672700
       -0.0006742250        0.0115457699        0.0017761799
        0.0000000000        0.0014603251        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0027982450        0.0028367900       -0.0021598301
        0.0000543500        0.0038622100        0.3526580201
        0.0000000000        0.0080636950        0.0017582998
       -0.0001537850       -0.0008795651       -0.0195800200
        0.0000000000        0.0100137650        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.3460915102        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0180879451        0.0000000000        0.0082419800
       -0.0011285250       -0.0007257950       -0.0002134051
        0.0601057899        0.0608686700       -0.0014134051
        0.0034052300       -0.0028923401        0.0080636950
        0.0000000000        0.2984166201        0.0049690499
       -0.0150493101       -0.0071450452       -0.0000078052
        0.0000000000        0.0052505351        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0202582302        0.0303394049        0.0390838348
       -0.0175882101       -0.0012672700        0.0017582998
        0.0000000000        0.0049690499        0.2918809804
        0.0052146198        0.0049651848       -0.0040288253
        0.0000000000       -0.0092634002        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0040289551       -0.0429372150        0.0392959799
       -0.0068614800       -0.0006742250       -0.0001537850
        0.0000000000       -0.0150493101        0.0052146198
        0.1484643602        0.0025409000       -0.0005269152
        0.0000000000       -0.0034832451        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0716421401        0.0102503900       -0.0071235402
       -0.0008479151        0.0115457699       -0.0008795651
        0.0000000000       -0.0071450452        0.0049651848
        0.0025409000        0.1603235603        0.0003141798
        0.0000000000        0.0015831050        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0005488852       -0.0037695752        0.0024943698
       -0.0003256551        0.0017761799       -0.0195800200
        0.0000000000       -0.0000078052       -0.0040288253
       -0.0005269152        0.0003141798        0.1303277503
        0.0000000000       -0.0081182451        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0180879451        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.1304304101        0.0000000000        0.0043998500
        0.0021066900        0.0001348000       -0.0012893751
        0.0043441500        0.0085187000       -0.0028944351
        0.0012442050        0.0014603251        0.0100137650
        0.0000000000        0.0052505351       -0.0092634002
       -0.0034832451        0.0015831050       -0.0081182451
        0.0000000000        0.2045791101        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0082419800        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0043998500        0.0000000000        0.1963550002
        0.0022794949        0.0067106099        0.0033638499
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0011285250        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0021066900        0.0000000000        0.0022794949
        0.0029378202        0.0016775900       -0.0002475902
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0007257950        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0001348000        0.0000000000        0.0067106099
        0.0016775900        0.0254975501       -0.0011653752
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0002134051        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0012893751        0.0000000000        0.0033638499
       -0.0002475902       -0.0011653752        0.0988930503
