    7   15
        0.3109175029        0.0411410277        0.0061753296
        0.0068752259       -0.0017212231        0.0000000000
        0.0202789296       -0.0199776592        0.0308153318
        0.0070887748        0.0000000000       -0.0082567050
        0.0000000000        0.0000000000        0.0000000000
        0.0411410277        0.8792444174        0.0371157466
        0.0018902301        0.0015213135        0.0000000000
        0.0276657167        0.0452671851        0.0061886308
       -0.0085122556        0.0000000000        0.0002716955
        0.0000000000        0.0000000000        0.0000000000
        0.0061753296        0.0371157466        0.3228186762
        0.0013975277       -0.0011921898        0.0000000000
       -0.0180965878       -0.0043637010        0.0038406600
        0.0031799502        0.0000000000        0.0001143921
        0.0000000000        0.0000000000        0.0000000000
        0.0068752259        0.0018902301        0.0013975277
        0.3615752379        0.0052679991        0.0000000000
        0.0005944580       -0.0028394912       -0.0108647410
       -0.0020429819        0.0000000000        0.0024775993
        0.0000000000        0.0000000000        0.0000000000
       -0.0017212231        0.0015213135       -0.0011921898
        0.0052679991        0.3585559654        0.0000000000
       -0.0127504421       -0.0022783328        0.0000886959
        0.0176208604        0.0000000000       -0.0174179927
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.3489029046
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0218978739        0.0000000000
        0.0185625510       -0.0005738902        0.0033754407
        0.0202789296        0.0276657167       -0.0180965878
        0.0005944580       -0.0127504421        0.0000000000
        0.2349024584       -0.0198396984        0.0051542169
       -0.0480164050        0.0000000000       -0.0057115059
        0.0000000000        0.0000000000        0.0000000000
       -0.0199776592        0.0452671851       -0.0043637010
       -0.0028394912       -0.0022783328        0.0000000000
       -0.0198396984        0.1663331784       -0.0036487091
       -0.0211265910        0.0000000000        0.0007304740
        0.0000000000        0.0000000000        0.0000000000
        0.0308153318        0.0061886308        0.0038406600
       -0.0108647410        0.0000886959        0.0000000000
        0.0051542169       -0.0036487091        0.1495845206
       -0.0011199575        0.0000000000       -0.0025767140
        0.0000000000        0.0000000000        0.0000000000
        0.0070887748       -0.0085122556        0.0031799502
       -0.0020429819        0.0176208604        0.0000000000
       -0.0480164050       -0.0211265910       -0.0011199575
        0.1634121134        0.0000000000        0.0023085981
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0218978739
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.1462448063        0.0000000000
        0.0026337969       -0.0043404148       -0.0266656450
       -0.0082567050        0.0002716955        0.0001143921
        0.0024775993       -0.0174179927        0.0000000000
       -0.0057115059        0.0007304740       -0.0025767140
        0.0023085981        0.0000000000        0.1432816023
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0185625510
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0026337969        0.0000000000
        0.1449568794        0.0034622198       -0.0004144519
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0005738902
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0043404148        0.0000000000
        0.0034622198        0.0018844597       -0.0013148946
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0033754407
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0266656450        0.0000000000
       -0.0004144519       -0.0013148946        0.1071376022
