    7   15
        0.2836600711        0.0412659469        0.0073562690
        0.0056038088       -0.0013354395        0.0000000000
        0.0185608627       -0.0201923987        0.0296473723
        0.0050804482        0.0000000000       -0.0081453580
        0.0000000000        0.0000000000        0.0000000000
        0.0412659469        0.8274091704        0.0351882801
        0.0002593042        0.0007804911        0.0000000000
        0.0267385762        0.0451575185        0.0028688800
       -0.0065256806        0.0000000000       -0.0007755638
        0.0000000000        0.0000000000        0.0000000000
        0.0073562690        0.0351882801        0.3058281524
        0.0005426878       -0.0007070645        0.0000000000
       -0.0165690675       -0.0066792265        0.0034166594
        0.0016161347        0.0000000000        0.0005832062
        0.0000000000        0.0000000000        0.0000000000
        0.0056038088        0.0002593042        0.0005426878
        0.3463295184        0.0046767514        0.0000000000
        0.0002960931       -0.0023867372       -0.0111767065
       -0.0010495826        0.0000000000        0.0026559053
        0.0000000000        0.0000000000        0.0000000000
       -0.0013354395        0.0007804911       -0.0007070645
        0.0046767514        0.3484339030        0.0000000000
       -0.0112921869       -0.0024111296        0.0006645811
        0.0166596222        0.0000000000       -0.0169252270
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.3403418748
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0192164808        0.0000000000
        0.0176637332       -0.0006301310        0.0027937611
        0.0185608627        0.0267385762       -0.0165690675
        0.0002960931       -0.0112921869        0.0000000000
        0.2186996480       -0.0188666453        0.0044852105
       -0.0426411933        0.0000000000       -0.0055030792
        0.0000000000        0.0000000000        0.0000000000
       -0.0201923987        0.0451575185       -0.0066792265
       -0.0023867372       -0.0024111296        0.0000000000
       -0.0188666453        0.1514349617       -0.0031937726
       -0.0189817469        0.0000000000        0.0007165050
        0.0000000000        0.0000000000        0.0000000000
        0.0296473723        0.0028688800        0.0034166594
       -0.0111767065        0.0006645811        0.0000000000
        0.0044852105       -0.0031937726        0.1264875897
       -0.0005927438        0.0000000000       -0.0019821613
        0.0000000000        0.0000000000        0.0000000000
        0.0050804482       -0.0065256806        0.0016161347
       -0.0010495826        0.0166596222        0.0000000000
       -0.0426411933       -0.0189817469       -0.0005927438
        0.1389770156        0.0000000000        0.0052906373
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0192164808
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.1250084793        0.0000000000
        0.0048674691       -0.0041004060       -0.0227045223
       -0.0081453580       -0.0007755638        0.0005832062
        0.0026559053       -0.0169252270        0.0000000000
       -0.0055030792        0.0007165050       -0.0019821613
        0.0052906373        0.0000000000        0.1252184842
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0176637332
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0048674691        0.0000000000
        0.1268701038        0.0035352699       -0.0008054633
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000       -0.0006301310
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0041004060        0.0000000000
        0.0035352699        0.0016071783       -0.0013078990
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0027937611
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0227045223        0.0000000000
       -0.0008054633       -0.0013078990        0.0912428951
