    8   18
        0.3204488814        0.0128888047        0.0050920045
        0.0003155344       -0.0000001955        0.0051999444
       -0.0000001455        0.0197776097        0.0000025238
        0.0306355389       -0.0000000256       -0.0150437410
        0.0383958400       -0.0088326806        0.0000007446
        0.0008169138        0.0000000790       -0.0000000807
        0.0128888047        0.2258215704        0.0007450899
       -0.0002911003        0.0000000301        0.0037627149
       -0.0000003951        0.0348696898        0.0000014046
       -0.0547743406        0.0000004445       -0.0238703808
        0.0018898351        0.0138326851       -0.0000000102
       -0.0015681502       -0.0000002251       -0.0000001199
        0.0050920045        0.0007450899        0.3749808502
       -0.0031271401        0.0000242949        0.0002170145
        0.0000000097       -0.0004160603       -0.0000002200
        0.0022296496       -0.0000000506       -0.0011119255
       -0.0130130650        0.0014397204       -0.0000004053
        0.0003348998       -0.0000002399        0.0000000506
        0.0003155344       -0.0002911003       -0.0031271401
        0.3699426111        0.0000133247        0.0007272195
       -0.0000000307        0.0118818849        0.0000000290
       -0.0024457654        0.0000000642        0.0005055193
        0.0004741298        0.0163534349       -0.0000001057
       -0.0181990907       -0.0000009561       -0.0000000455
       -0.0000001955        0.0000000301        0.0000242949
        0.0000133247        0.3741813305       -0.0000000108
        0.0011437447        0.0000001148       -0.0062431855
       -0.0000001256       -0.0035742300       -0.0000000153
       -0.0000004297       -0.0000001904        0.0148305196
       -0.0000008953        0.0167051644       -0.0007063352
        0.0051999444        0.0037627149        0.0002170145
        0.0007272195       -0.0000000108        0.3784930811
        0.0000388741       -0.0080981300       -0.0000007361
        0.0050524346       -0.0000003604        0.0166726392
        0.0022013899       -0.0022605752       -0.0000002308
        0.0005028494       -0.0000000159       -0.0000000205
       -0.0000001455       -0.0000003951        0.0000000097
       -0.0000000307        0.0011437447        0.0000388741
        0.3748039410       -0.0000002149        0.0118558989
       -0.0000003956        0.0089891597       -0.0000012358
       -0.0000000654        0.0000001046       -0.0064556207
       -0.0000000256       -0.0001042207        0.0000683997
        0.0197776097        0.0348696898       -0.0004160603
        0.0118818849        0.0000001148       -0.0080981300
       -0.0000002149        0.2800330503        0.0000114392
        0.0007323945        0.0000024698       -0.0033981905
        0.0019359851        0.0393059003        0.0000023101
        0.0007999245        0.0000004496        0.0000011454
        0.0000025238        0.0000014046       -0.0000002200
        0.0000000290       -0.0062431855       -0.0000007361
        0.0118558989        0.0000114392        0.1963715715
        0.0000003990       -0.0124214955        0.0000036835
        0.0000010346        0.0000006594       -0.0222066910
        0.0000002592        0.0029539387       -0.0082248204
        0.0306355389       -0.0547743406        0.0022296496
       -0.0024457654       -0.0000001256        0.0050524346
       -0.0000003956        0.0007323945        0.0000003990
        0.1635559613        0.0000011892        0.0083456035
        0.0060795151       -0.0130557100        0.0000002245
       -0.0006990308        0.0000000887       -0.0000001353
       -0.0000000256        0.0000004445       -0.0000000506
        0.0000000642       -0.0035742300       -0.0000003604
        0.0089891597        0.0000024698       -0.0124214955
        0.0000011892        0.1526814310        0.0000012443
        0.0000000495        0.0000005792       -0.0244169007
        0.0000001694       -0.0014018252        0.0022110044
       -0.0150437410       -0.0238703808       -0.0011119255
        0.0005055193       -0.0000000153        0.0166726392
       -0.0000012358       -0.0033981905        0.0000036835
        0.0083456035        0.0000012443        0.1403498015
       -0.0023236157        0.0056781096        0.0000003740
       -0.0004210807       -0.0000000006        0.0000000841
        0.0383958400        0.0018898351       -0.0130130650
        0.0004741298       -0.0000004297        0.0022013899
       -0.0000000654        0.0019359851        0.0000010346
        0.0060795151        0.0000000495       -0.0023236157
        0.1366603203       -0.0019966450        0.0000017150
       -0.0006164106        0.0000008748       -0.0000001700
       -0.0088326806        0.0138326851        0.0014397204
        0.0163534349       -0.0000001904       -0.0022605752
        0.0000001046        0.0393059003        0.0000006594
       -0.0130557100        0.0000005792        0.0056781096
       -0.0019966450        0.1552356002        0.0000027995
       -0.0005132199        0.0000024897        0.0000004349
        0.0000007446       -0.0000000102       -0.0000004053
       -0.0000001057        0.0148305196       -0.0000002308
       -0.0064556207        0.0000023101       -0.0222066910
        0.0000002245       -0.0244169007        0.0000003740
        0.0000017150        0.0000027995        0.1613598010
        0.0000021544        0.0009157748       -0.0020724855
        0.0008169138       -0.0015681502        0.0003348998
       -0.0181990907       -0.0000008953        0.0005028494
       -0.0000000256        0.0007999245        0.0000002592
       -0.0006990308        0.0000001694       -0.0004210807
       -0.0006164106       -0.0005132199        0.0000021544
        0.1351828109        0.0000010448       -0.0000001353
        0.0000000790       -0.0000002251       -0.0000002399
       -0.0000009561        0.0167051644       -0.0000000159
       -0.0001042207        0.0000004496        0.0029539387
        0.0000000887       -0.0014018252       -0.0000000006
        0.0000008748        0.0000024897        0.0009157748
        0.0000010448        0.1333990713       -0.0004980757
       -0.0000000807       -0.0000001199        0.0000000506
       -0.0000000455       -0.0007063352       -0.0000000205
        0.0000683997        0.0000011454       -0.0082248204
       -0.0000001353        0.0022110044        0.0000000841
       -0.0000001700        0.0000004349       -0.0020724855
       -0.0000001353       -0.0004980757        0.0101040803
