    8   24
        0.5415167864        0.0439758551        0.0000000000
       -0.1497025226        0.0757055150        0.0000000000
       -0.1353973551       -0.0127536244       -0.1261252911
       -0.1042473570       -0.1063660725        0.0000000000
       -0.1353973551       -0.0127536244        0.1261252911
       -0.0119031042        0.0153115354       -0.0023081585
       -0.0119031042        0.0153115354        0.0023081585
        0.0070340119       -0.0184311197        0.0000000000
        0.0439758551        0.5155043551        0.0000000000
        0.0738954218       -0.1358739180        0.0000000000
       -0.0098878392       -0.0475595420       -0.0144649828
       -0.1072058875       -0.2529467900        0.0000000000
       -0.0098878392       -0.0475595420        0.0144649828
       -0.0000732124        0.0019541263        0.0003379037
       -0.0000732124        0.0019541263       -0.0003379037
        0.0092567139       -0.0354728156        0.0000000000
        0.0000000000        0.0000000000        0.5788488980
        0.0000000000        0.0000000000       -0.0835552289
       -0.1243253053       -0.0168241557       -0.2272966713
        0.0000000000        0.0000000000       -0.0470848409
        0.1243253053        0.0168241557       -0.2272966713
        0.0190331926       -0.0212209101        0.0024254909
       -0.0190331926        0.0212209101        0.0024254909
        0.0000000000        0.0000000000        0.0015335326
       -0.1497025226        0.0738954218        0.0000000000
        0.5033072997       -0.0454061946        0.0000000000
       -0.0150187018        0.0161684909        0.0013189226
        0.0102977590       -0.0129912130        0.0000000000
       -0.0150187018        0.0161684909       -0.0013189226
       -0.1381588147       -0.0020769335        0.1277411586
       -0.1381588147       -0.0020769335       -0.1277411586
       -0.0575475032       -0.0436811290        0.0000000000
        0.0757055150       -0.1358739180        0.0000000000
       -0.0454061946        0.3471857217        0.0000000000
       -0.0025919009       -0.0005157083       -0.0006103791
        0.0187012195       -0.0197277683        0.0000000000
       -0.0025919009       -0.0005157083        0.0006103791
        0.0001621842       -0.0403592864        0.0069211170
        0.0001621842       -0.0403592864       -0.0069211170
       -0.0441411065       -0.1098340460        0.0000000000
        0.0000000000        0.0000000000       -0.0835552289
        0.0000000000        0.0000000000        0.5941829209
       -0.0204334131        0.0226265904        0.0011432643
        0.0000000000        0.0000000000       -0.0017083236
        0.0204334131       -0.0226265904        0.0011432643
        0.1268805372        0.0080460319       -0.2379866234
       -0.1268805372       -0.0080460319       -0.2379866234
        0.0000000000        0.0000000000       -0.0352326502
       -0.1353973551       -0.0098878392       -0.1243253053
       -0.0150187018       -0.0025919009       -0.0204334131
        0.1475232658        0.0084131376        0.1379295587
       -0.0085253654        0.0000268329       -0.0111016163
        0.0119242572        0.0014822375        0.0160285352
        0.0005068817       -0.0007857143        0.0001464048
       -0.0022696755        0.0039483062        0.0008716540
        0.0012566930       -0.0006050597        0.0008841821
       -0.0127536244       -0.0475595420       -0.0168241557
        0.0161684909       -0.0005157083        0.0226265904
        0.0084131376        0.0505548027        0.0167816295
       -0.0159075101       -0.0008826373       -0.0243094290
        0.0014822375       -0.0010414190        0.0022881571
       -0.0011530697        0.0006727245       -0.0003411520
        0.0038885958       -0.0035351177       -0.0002570218
       -0.0001382576        0.0023068972        0.0000353813
       -0.1261252911       -0.0144649828       -0.2272966713
        0.0013189226       -0.0006103791        0.0011432643
        0.1379295587        0.0167816295        0.2428744042
        0.0020123823        0.0001678503        0.0010082847
       -0.0160285352       -0.0022881571       -0.0200680325
       -0.0001107715        0.0005216605        0.0007401265
        0.0003185421       -0.0005598957        0.0014454064
        0.0006851921        0.0004522744        0.0001532177
       -0.1042473570       -0.1072058875        0.0000000000
