    8   18
        0.2935271630        0.0164951467        0.0092131364
        0.0002388953        0.0000000000        0.0077659740
        0.0000000000        0.0185310955        0.0000000000
        0.0312665890        0.0000000000       -0.0152891812
        0.0390455187       -0.0096321054        0.0000000000
        0.0012898334        0.0000000000        0.0000000000
        0.0164951467        0.2107254511        0.0006108098
       -0.0009343927        0.0000000000        0.0074789625
        0.0000000000        0.0341692021        0.0000000000
       -0.0546000240        0.0000000000       -0.0242720438
        0.0019100162        0.0136825923        0.0000000000
       -0.0021065614        0.0000000000        0.0000000000
        0.0092131364        0.0006108098        0.3491132622
       -0.0029220956        0.0000000000        0.0000435102
        0.0000000000       -0.0001863356        0.0000000000
        0.0019036628        0.0000000000       -0.0010466351
       -0.0135121456        0.0014080246        0.0000000000
        0.0004020012        0.0000000000        0.0000000000
        0.0002388953       -0.0009343927       -0.0029220956
        0.3400623393        0.0000000000        0.0009899850
        0.0000000000        0.0109537143        0.0000000000
       -0.0021448545        0.0000000000        0.0002463543
        0.0004508331        0.0161660211        0.0000000000
       -0.0188265847        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.3440475280        0.0000000000
        0.0016039667        0.0000000000       -0.0057624715
        0.0000000000       -0.0028153624        0.0000000000
        0.0000000000        0.0000000000        0.0144409466
        0.0000000000        0.0173817472       -0.0005896504
        0.0077659740        0.0074789625        0.0000435102
        0.0009899850        0.0000000000        0.3507090855
        0.0000000000       -0.0074970706        0.0000000000
        0.0044914799        0.0000000000        0.0171803185
        0.0019765997       -0.0018230008        0.0000000000
        0.0007351798        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0016039667        0.0000000000
        0.3447734605        0.0000000000        0.0114670479
        0.0000000000        0.0088072579        0.0000000000
        0.0000000000        0.0000000000       -0.0057565171
        0.0000000000       -0.0002853716        0.0000972994
        0.0185310955        0.0341692021       -0.0001863356
        0.0109537143        0.0000000000       -0.0074970706
        0.0000000000        0.2729742778        0.0000000000
        0.0007212753        0.0000000000       -0.0037050370
        0.0018914130        0.0375704138        0.0000000000
        0.0013602624        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0057624715        0.0000000000
        0.0114670479        0.0000000000        0.1897264121
        0.0000000000       -0.0104835590        0.0000000000
        0.0000000000        0.0000000000       -0.0217918222
        0.0000000000        0.0034205141       -0.0069637809
        0.0312665890       -0.0546000240        0.0019036628
       -0.0021448545        0.0000000000        0.0044914799
        0.0000000000        0.0007212753        0.0000000000
        0.1590476245        0.0000000000        0.0076555398
        0.0055058160       -0.0127889831        0.0000000000
       -0.0008456277        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0028153624        0.0000000000
        0.0088072579        0.0000000000       -0.0104835590
        0.0000000000        0.1473700934        0.0000000000
        0.0000000000        0.0000000000       -0.0239675416
        0.0000000000       -0.0016818632        0.0017914505
       -0.0152891812       -0.0242720438       -0.0010466351
        0.0002463543        0.0000000000        0.0171803185
        0.0000000000       -0.0037050370        0.0000000000
        0.0076555398        0.0000000000        0.1370589439
       -0.0020816839        0.0055903229        0.0000000000
       -0.0007292743        0.0000000000        0.0000000000
        0.0390455187        0.0019100162       -0.0135121456
        0.0004508331        0.0000000000        0.0019765997
        0.0000000000        0.0018914130        0.0000000000
        0.0055058160        0.0000000000       -0.0020816839
        0.1357082715       -0.0026562691        0.0000000000
       -0.0006697275        0.0000000000        0.0000000000
       -0.0096321054        0.0136825923        0.0014080246
        0.0161660211        0.0000000000       -0.0018230008
        0.0000000000        0.0375704138        0.0000000000
       -0.0127889831        0.0000000000        0.0055903229
       -0.0026562691        0.1528494374        0.0000000000
       -0.0009080691        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0144409466        0.0000000000
       -0.0057565171        0.0000000000       -0.0217918222
        0.0000000000       -0.0239675416        0.0000000000
        0.0000000000        0.0000000000        0.1601417932
        0.0000000000        0.0012627021       -0.0017981517
        0.0012898334       -0.0021065614        0.0004020012
       -0.0188265847        0.0000000000        0.0007351798
        0.0000000000        0.0013602624        0.0000000000
       -0.0008456277        0.0000000000       -0.0007292743
       -0.0006697275       -0.0009080691        0.0000000000
        0.1330700229        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0173817472        0.0000000000
       -0.0002853716        0.0000000000        0.0034205141
        0.0000000000       -0.0016818632        0.0000000000
        0.0000000000        0.0000000000        0.0012627021
        0.0000000000        0.1309661798       -0.0005628391
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000       -0.0005896504        0.0000000000
        0.0000972994        0.0000000000       -0.0069637809
        0.0000000000        0.0017914505        0.0000000000
        0.0000000000        0.0000000000       -0.0017981517
        0.0000000000       -0.0005628391        0.0086039108
