    8   18
        0.0413328277        0.0000219049       -0.0000004969
       -0.0000004906       -0.0000003081       -0.0000003408
       -0.0000006487        0.0008855454        0.0639212124
        0.0000000119        0.0000073864        0.0000001000
        0.0000006040        0.0432977004        0.0007850274
       -0.0000009489       -0.0000010075       -0.0000009153
        0.0000219049        0.0413333588       -0.0000006199
       -0.0000010584        0.0000001882       -0.0000002947
       -0.0000002997        0.0639205140       -0.0008642844
        0.0000014689        0.0000060756        0.0000006624
        0.0000005533       -0.0007530710        0.0432976005
       -0.0000003703       -0.0000007874       -0.0000000596
       -0.0000004969       -0.0000006199        0.0585043983
       -0.0000008770       -0.0000006248       -0.0000001281
       -0.0000008056        0.0000004611        0.0000010301
        0.0000003249       -0.0000000492        0.0648080409
       -0.0000005792       -0.0000004204       -0.0000005004
       -0.0000005462       -0.0000006346        0.0585286698
       -0.0000004906       -0.0000010584       -0.0000008770
        0.0360517053       -0.0000049081       -0.0000004255
       -0.0000002560        0.0000001256       -0.0000000670
        0.0000014470        0.0000010760       -0.0000002825
       -0.0557187356       -0.0000008914       -0.0000004813
       -0.0000072456       -0.0000030872       -0.0000007452
       -0.0000003081        0.0000001882       -0.0000006248
       -0.0000049081        0.0626812624        0.0000008165
       -0.0000078249        0.0000003864        0.0000029902
       -0.0017804808       -0.1033425381        0.0000017209
        0.0000027462        0.0000008079       -0.0000001852
        0.0306218740       -0.0007019461        0.0000009800
       -0.0000003408       -0.0000002947       -0.0000001281
       -0.0000004255        0.0000008165        0.0626820982
        0.0000017793       -0.0000001140       -0.0000001813
       -0.1033476082        0.0017707951        0.0000013844
        0.0000005779       -0.0000006440        0.0000003037
       -0.0007021938       -0.0306294166        0.0000006554
       -0.0000006487       -0.0000002997       -0.0000008056
       -0.0000002560       -0.0000078249        0.0000017793
        0.0022366257        0.0000005281        0.0000006913
       -0.0000083943       -0.0000031372       -0.0000002571
        0.0000000467       -0.0000002365       -0.0000001708
       -0.0000080841       -0.0000009667        0.0000000909
        0.0008855454        0.0639205140        0.0000004611
        0.0000001256        0.0000003864       -0.0000001140
        0.0000005281        0.2078760515        0.0000249687
        0.0000093669        0.0000084779        0.0000067198
        0.0000059339       -0.0004477020        0.1144481089
        0.0000001248        0.0000000230       -0.0000002262
        0.0639212124       -0.0008642844        0.0000010301
       -0.0000000670        0.0000029902       -0.0000001813
        0.0000006913        0.0000249687        0.2078759080
        0.0000038452        0.0000120769        0.0000070815
        0.0000058865        0.1144478350        0.0004813746
        0.0000008205       -0.0000001786        0.0000000578
        0.0000000119        0.0000014689        0.0000003249
        0.0000014470       -0.0017804808       -0.1033476082
       -0.0000083943        0.0000093669        0.0000038452
        0.2940794543        0.0000086360        0.0000085777
        0.0000042665        0.0000020447        0.0000056264
        0.0001940123        0.0348573675        0.0000001467
        0.0000073864        0.0000060756       -0.0000000492
        0.0000010760       -0.1033425381        0.0017707951
       -0.0000031372        0.0000084779        0.0000120769
        0.0000086360        0.2940689856        0.0000083340
        0.0000097329        0.0000126965        0.0000071105
       -0.0348498729        0.0001995283       -0.0000000338
        0.0000001000        0.0000006624        0.0648080409
       -0.0000002825        0.0000017209        0.0000013844
       -0.0000002571        0.0000067198        0.0000070815
        0.0000085777        0.0000083340        0.3206273469
        0.0000091291        0.0000050769        0.0000052581
        0.0000003879       -0.0000001315       -0.0417455581
        0.0000006040        0.0000005533       -0.0000005792
       -0.0557187356        0.0000027462        0.0000005779
        0.0000000467        0.0000059339        0.0000058865
        0.0000042665        0.0000097329        0.0000091291
        0.3373738647        0.0000048882        0.0000045289
       -0.0000003214       -0.0000032182        0.0000004948
        0.0432977004       -0.0007530710       -0.0000004204
       -0.0000008914        0.0000008079       -0.0000006440
       -0.0000002365       -0.0004477020        0.1144478350
        0.0000020447        0.0000126965        0.0000050769
        0.0000048882        0.1979523080        0.0000225916
       -0.0000002152       -0.0000006985       -0.0000007894
        0.0007850274        0.0432976005       -0.0000005004
       -0.0000004813       -0.0000001852        0.0000003037
       -0.0000001708        0.1144481089        0.0004813746
        0.0000056264        0.0000071105        0.0000052581
        0.0000045289        0.0000225916        0.1979513365
       -0.0000002482       -0.0000003230        0.0000001269
       -0.0000009489       -0.0000003703       -0.0000005462
       -0.0000072456        0.0306218740       -0.0007021938
       -0.0000080841        0.0000001248        0.0000008205
        0.0001940123       -0.0348498729        0.0000003879
       -0.0000003214       -0.0000002152       -0.0000002482
        0.0682029201        0.0000036069        0.0000001273
       -0.0000010075       -0.0000007874       -0.0000006346
       -0.0000030872       -0.0007019461       -0.0306294166
       -0.0000009667        0.0000000230       -0.0000001786
        0.0348573675        0.0001995283       -0.0000001315
       -0.0000032182       -0.0000006985       -0.0000003230
        0.0000036069        0.0682036416       -0.0000001224
       -0.0000009153       -0.0000000596        0.0585286698
       -0.0000007452        0.0000009800        0.0000006554
        0.0000000909       -0.0000002262        0.0000000578
        0.0000001467       -0.0000000338       -0.0417455581
        0.0000004948       -0.0000007894        0.0000001269
        0.0000001273       -0.0000001224        0.2871062027
