    8   18
        0.3135652700        0.0064888100       -0.0000003100
       -0.0000002100        0.0064888050       -0.0000003200
       -0.0000002100       -0.0391093700       -0.0000000350
        0.0000001450        0.0000020250        0.0000012700
       -0.0391093600       -0.0000000250        0.0000001550
        0.0000020350        0.0000012750        0.0000003551
        0.0064888100        0.3732889601        0.0000366349
        0.0000247849        0.0004407050       -0.0000000051
        0.0000000099        0.0154910250       -0.0000003201
       -0.0000002800       -0.0000002601       -0.0000003201
       -0.0028654401       -0.0000000301       -0.0000000351
       -0.0000000951       -0.0000001351       -0.0000000251
       -0.0000003100        0.0000366349        0.3688063501
        0.0000128149        0.0000000049       -0.0012669251
        0.0000000200       -0.0000004550       -0.0187168900
       -0.0000010050        0.0141384749       -0.0000002201
       -0.0000000500       -0.0004747950       -0.0000000600
        0.0068281850       -0.0000001051       -0.0000000250
       -0.0000002100        0.0000247849        0.0000128149
        0.3688063401        0.0000000099        0.0000000199
        0.0012669649       -0.0000003850       -0.0000010000
        0.0187159350       -0.0000002050        0.0141384749
       -0.0000000651       -0.0000000401       -0.0004748051
       -0.0000000951       -0.0068287451       -0.0000000100
        0.0064888050        0.0004407050        0.0000000049
        0.0000000099        0.3732889701        0.0000366200
        0.0000247999       -0.0028654450       -0.0000000400
       -0.0000000400       -0.0000000850       -0.0000001301
        0.0154911100       -0.0000003000       -0.0000002701
       -0.0000002600       -0.0000003351       -0.0000000150
       -0.0000003200       -0.0000000051       -0.0012669251
        0.0000000199        0.0000366200        0.3688063801
        0.0000128249       -0.0000000700       -0.0004747900
       -0.0000000700        0.0068281700       -0.0000001251
       -0.0000004750       -0.0187169000       -0.0000010050
        0.0141384750       -0.0000002151       -0.0000000250
       -0.0000002100        0.0000000099        0.0000000200
        0.0012669649        0.0000247999        0.0000128249
        0.3688063401       -0.0000000900       -0.0000000701
       -0.0004748151       -0.0000001000       -0.0068287501
       -0.0000003700       -0.0000010151        0.0187159349
       -0.0000002050        0.0141384699       -0.0000000251
       -0.0391093700        0.0154910250       -0.0000004550
       -0.0000003850       -0.0028654450       -0.0000000700
       -0.0000000900        0.1347785900       -0.0000005200
        0.0000007700        0.0000023751        0.0000014100
        0.0069637701        0.0000001400        0.0000001150
        0.0000003750        0.0000004849        0.0000001200
       -0.0000000350       -0.0000003201       -0.0187168900
       -0.0000010000       -0.0000000400       -0.0004747900
       -0.0000000701       -0.0000005200        0.1393922700
        0.0000012200       -0.0030957850        0.0000026650
        0.0000001300       -0.0008852200       -0.0000000150
        0.0010207050        0.0000002500       -0.0000000300
        0.0000001450       -0.0000002800       -0.0000010050
        0.0187159350       -0.0000000400       -0.0000000700
       -0.0004748151        0.0000007700        0.0000012200
        0.1393922901        0.0000026500        0.0031006849
        0.0000001100       -0.0000000150        0.0008853500
        0.0000002549        0.0010206849       -0.0000000150
        0.0000020250       -0.0000002601        0.0141384749
       -0.0000002050       -0.0000000850        0.0068281700
       -0.0000001000        0.0000023751       -0.0030957850
        0.0000026500        0.1593061801        0.0000020700
        0.0000003701        0.0010207000        0.0000002549
        0.0343003450        0.0000007850        0.0000001500
        0.0000012700       -0.0000003201       -0.0000002201
        0.0141384749       -0.0000001301       -0.0000001251
       -0.0068287501        0.0000014100        0.0000026650
        0.0031006849        0.0000020700        0.1593061901
        0.0000004900        0.0000002649        0.0010206900
        0.0000007999       -0.0342968651        0.0000000750
       -0.0391093600       -0.0028654401       -0.0000000500
       -0.0000000651        0.0154911100       -0.0000004750
       -0.0000003700        0.0069637701        0.0000001300
        0.0000001100        0.0000003701        0.0000004900
        0.1347785800       -0.0000004550        0.0000008200
        0.0000023750        0.0000014199        0.0000000950
       -0.0000000250       -0.0000000301       -0.0004747950
       -0.0000000401       -0.0000003000       -0.0187169000
       -0.0000010151        0.0000001400       -0.0008852200
       -0.0000000150        0.0010207000        0.0000002649
       -0.0000004550        0.1393922601        0.0000012299
       -0.0030957650        0.0000026800       -0.0000000100
        0.0000001550       -0.0000000351       -0.0000000600
       -0.0004748051       -0.0000002701       -0.0000010050
        0.0187159349        0.0000001150       -0.0000000150
        0.0008853500        0.0000002549        0.0010206900
        0.0000008200        0.0000012299        0.1393922801
        0.0000026599        0.0031007050       -0.0000000150
        0.0000020350       -0.0000000951        0.0068281850
       -0.0000000951       -0.0000002600        0.0141384750
       -0.0000002050        0.0000003750        0.0010207050
        0.0000002549        0.0343003450        0.0000007999
        0.0000023750       -0.0030957650        0.0000026599
        0.1593061300        0.0000020550        0.0000001450
        0.0000012750       -0.0000001351       -0.0000001051
       -0.0068287451       -0.0000003351       -0.0000002151
        0.0141384699        0.0000004849        0.0000002500
        0.0010206849        0.0000007850       -0.0342968651
        0.0000014199        0.0000026800        0.0031007050
        0.0000020550        0.1593062201        0.0000000700
        0.0000003551       -0.0000000251       -0.0000000250
       -0.0000000100       -0.0000000150       -0.0000000250
       -0.0000000251        0.0000001200       -0.0000000300
       -0.0000000150        0.0000001500        0.0000000750
        0.0000000950       -0.0000000100       -0.0000000150
        0.0000001450        0.0000000700        0.0038768000
