    8   18
        0.0439003200        0.0000001150        0.0000001100
        0.0000000900        0.0000004200        0.0000001749
        0.0000001550        0.0009564999        0.0698435250
        0.0000006500        0.0000020449        0.0000010000
        0.0000011650        0.0489203950       -0.0008682050
        0.0000001850       -0.0000000551        0.0000003300
        0.0000001150        0.0439003500        0.0000001049
        0.0000001000        0.0000001650        0.0000005200
        0.0000001750        0.0698435650       -0.0009559250
        0.0000005550        0.0000006349        0.0000009800
        0.0000011650       -0.0008682100       -0.0489190700
       -0.0000000450        0.0000002000        0.0000002900
        0.0000001100        0.0000001049        0.0648960801
        0.0000004049        0.0000001249        0.0000001599
        0.0000000249        0.0000005048        0.0000005249
        0.0000004499        0.0000005399        0.0736198299
        0.0000008249        0.0000007799        0.0000001550
       -0.0000003901       -0.0000003751        0.0658870849
        0.0000000900        0.0000001000        0.0000004049
        0.0374951901        0.0000003000        0.0000001649
        0.0000000050        0.0000003249        0.0000003299
       -0.0000000100       -0.0000005501        0.0000008100
       -0.0609296301        0.0000009499        0.0000009450
       -0.0000002650        0.0000003299        0.0000000399
        0.0000004200        0.0000001650        0.0000001249
        0.0000003000        0.0672008301        0.0000002249
        0.0000000900        0.0000010249        0.0000027850
       -0.0019503650       -0.1136944501        0.0000021250
        0.0000020000        0.0000009850        0.0000004100
        0.0327648100       -0.0007510451        0.0000003549
        0.0000001749        0.0000005200        0.0000001599
        0.0000001649        0.0000002249        0.0672008701
        0.0000000849        0.0000005449        0.0000010199
       -0.1136944751        0.0019520249        0.0000020749
        0.0000018599        0.0000004199        0.0000010149
       -0.0007510451       -0.0327642002        0.0000003149
        0.0000001550        0.0000001750        0.0000000249
        0.0000000050        0.0000000900        0.0000000849
        0.0025845301        0.0000007199        0.0000007249
        0.0000003400        0.0000006049        0.0000009150
       -0.0000000351        0.0000002549        0.0000002199
        0.0000001549        0.0000001649        0.0000002549
        0.0009564999        0.0698435650        0.0000005048
        0.0000003249        0.0000010249        0.0000005449
        0.0000007199        0.2229455602        0.0000018048
        0.0000095599        0.0000028449        0.0000071200
        0.0000062749       -0.0005182851       -0.1279288851
       -0.0000003751        0.0000003749       -0.0000002051
        0.0698435250       -0.0009559250        0.0000005249
        0.0000003299        0.0000027850        0.0000010199
        0.0000007249        0.0000018048        0.2229455102
        0.0000028749        0.0000072748        0.0000071950
        0.0000063400        0.1279371349       -0.0005182701
        0.0000003649       -0.0000003551       -0.0000002001
        0.0000006500        0.0000005550        0.0000004499
       -0.0000000100       -0.0019503650       -0.1136944751
        0.0000003400        0.0000095599        0.0000028749
        0.3186904701        0.0000045549        0.0000091600
        0.0000131100        0.0000021850        0.0000083499
        0.0002255649        0.0390721549        0.0000005199
        0.0000020449        0.0000006349        0.0000005399
       -0.0000005501       -0.1136944501        0.0019520249
        0.0000006049        0.0000028449        0.0000072748
        0.0000045549        0.3186905202        0.0000091399
        0.0000132249        0.0000083399        0.0000021899
       -0.0390671451        0.0002255598        0.0000004799
        0.0000010000        0.0000009800        0.0736198299
        0.0000008100        0.0000021250        0.0000020749
        0.0000009150        0.0000071200        0.0000071950
        0.0000091600        0.0000091399        0.3463328700
        0.0000102300        0.0000059450        0.0000035900
       -0.0000000550       -0.0000000500       -0.0406797600
        0.0000011650        0.0000011650        0.0000008249
       -0.0609296301        0.0000020000        0.0000018599
       -0.0000000351        0.0000062749        0.0000063400
        0.0000131100        0.0000132249        0.0000102300
        0.3619832201        0.0000053949        0.0000053999
        0.0000016099        0.0000017299        0.0000005750
        0.0489203950       -0.0008682100        0.0000007799
        0.0000009499        0.0000009850        0.0000004199
        0.0000002549       -0.0005182851        0.1279371349
        0.0000021850        0.0000083399        0.0000059450
        0.0000053949        0.2127975101        0.0000019499
       -0.0000003900       -0.0000007001        0.0000001749
       -0.0008682050       -0.0489190700        0.0000001550
        0.0000009450        0.0000004100        0.0000010149
        0.0000002199       -0.1279288851       -0.0005182701
        0.0000083499        0.0000021899        0.0000035900
        0.0000053999        0.0000019499        0.2127974801
       -0.0000007001       -0.0000005151        0.0000013149
        0.0000001850       -0.0000000450       -0.0000003901
       -0.0000002650        0.0327648100       -0.0007510451
        0.0000001549       -0.0000003751        0.0000003649
        0.0002255649       -0.0390671451       -0.0000000550
        0.0000016099       -0.0000003900       -0.0000007001
        0.0701072601       -0.0000004001        0.0000008699
       -0.0000000551        0.0000002000       -0.0000003751
        0.0000003299       -0.0007510451       -0.0327642002
        0.0000001649        0.0000003749       -0.0000003551
        0.0390721549        0.0002255598       -0.0000000500
        0.0000017299       -0.0000007001       -0.0000005151
       -0.0000004001        0.0701072702        0.0000008849
        0.0000003300        0.0000002900        0.0658870849
        0.0000000399        0.0000003549        0.0000003149
        0.0000002549       -0.0000002051       -0.0000002001
        0.0000005199        0.0000004799       -0.0406797600
        0.0000005750        0.0000001749        0.0000013149
        0.0000008699        0.0000008849        0.3055926001
