    9   27
        0.5514041335        0.0689002981        0.0000000000
       -0.1932198989        0.0538813087        0.0000000000
       -0.0578418919        0.0169770892        0.0000000000
       -0.2061903309       -0.1433355765        0.0000000000
       -0.0513836844       -0.0008600543       -0.0009038125
       -0.0513836844       -0.0008600543        0.0009038125
        0.0055725980        0.0043823322        0.0018974418
        0.0055725980        0.0043823322       -0.0018974418
       -0.0025298390       -0.0034676753        0.0000000000
        0.0689002981        0.5615487561        0.0000000000
        0.1019761903       -0.1521920174        0.0000000000
       -0.0169770823        0.0118849658        0.0000000000
       -0.1288534043       -0.1638928880        0.0000000000
       -0.0044431479       -0.1269276940        0.1138928092
       -0.0044431479       -0.1269276940       -0.1138928092
       -0.0051609639       -0.0010119640        0.0001263164
       -0.0051609639       -0.0010119640       -0.0001263164
       -0.0058379305       -0.0014695003        0.0000000000
        0.0000000000        0.0000000000        0.5535778046
        0.0000000000        0.0000000000       -0.0652687283
        0.0000000000        0.0000000000       -0.0029072644
        0.0000000000        0.0000000000       -0.0498516197
        0.0025505906        0.1114680611       -0.2191225670
       -0.0025505906       -0.1114680611       -0.2191225670
       -0.0032473901        0.0014328198        0.0012493836
        0.0032473901       -0.0014328198        0.0012493836
        0.0000000000        0.0000000000        0.0001961746
       -0.1932198989        0.1019761903        0.0000000000
        0.5052087509       -0.0000000081        0.0000000000
       -0.1932199030       -0.1019761987        0.0000000000
       -0.0310651631        0.0232354123        0.0000000000
       -0.0141599105        0.0142151059       -0.0048948586
       -0.0141599105        0.0142151059        0.0048948586
       -0.0141599103       -0.0142151057       -0.0048948587
       -0.0141599103       -0.0142151057        0.0048948587
       -0.0310651628       -0.0232354118        0.0000000000
        0.0538813087       -0.1521920174        0.0000000000
       -0.0000000081        0.3443999454        0.0000000000
       -0.0538812907       -0.1521919918        0.0000000000
       -0.0160374105        0.0140704900        0.0000000000
        0.0249742986       -0.0170392138        0.0018716529
        0.0249742986       -0.0170392138       -0.0018716529
       -0.0249742980       -0.0170392134       -0.0018716530
       -0.0249742980       -0.0170392134        0.0018716530
        0.0160374107        0.0140704897        0.0000000000
        0.0000000000        0.0000000000       -0.0652687283
        0.0000000000        0.0000000000        0.1005402015
        0.0000000000        0.0000000000       -0.0652687609
        0.0000000000        0.0000000000        0.0001530665
       -0.0247273505        0.0171036028        0.0074228247
        0.0247273505       -0.0171036028        0.0074228247
       -0.0247273500       -0.0171036024        0.0074228244
        0.0247273500        0.0171036024        0.0074228244
        0.0000000000        0.0000000000        0.0001530665
       -0.0578418919       -0.0169770823        0.0000000000
       -0.1932199030       -0.0538812907        0.0000000000
        0.5514049968       -0.0689003343        0.0000000000
       -0.0025298389        0.0034676753        0.0000000000
        0.0055725980       -0.0043823323        0.0018974418
        0.0055725980       -0.0043823323       -0.0018974418
       -0.0513836864        0.0008600551       -0.0009038118
       -0.0513836864        0.0008600551        0.0009038118
       -0.2061903247        0.1433355732        0.0000000000
        0.0169770892        0.0118849658        0.0000000000
       -0.1019761987       -0.1521919918        0.0000000000
       -0.0689003343        0.5615487095        0.0000000000
        0.0058379304       -0.0014695004        0.0000000000
        0.0051609639       -0.0010119640       -0.0001263165
        0.0051609639       -0.0010119640        0.0001263165
        0.0044431485       -0.1269276893       -0.1138927996
        0.0044431485       -0.1269276893        0.1138927996
        0.1288534009       -0.1638928878        0.0000000000
        0.0000000000        0.0000000000       -0.0029072644
        0.0000000000        0.0000000000       -0.0652687609
        0.0000000000        0.0000000000        0.5535777604
        0.0000000000        0.0000000000        0.0001961747
       -0.0032473901       -0.0014328199        0.0012493836
        0.0032473901        0.0014328199        0.0012493836
        0.0025505912       -0.1114680514       -0.2191225542
       -0.0025505912        0.1114680514       -0.2191225542
