    9   21
        0.0503916800        0.0000001450       -0.0000000050
        0.0000000099        0.0000001951        0.0000003902
        0.0239312598        0.0000002601        0.0000000249
        0.0000011099        0.0823343647        0.0000003099
        0.0000002851        0.0000011100        0.0000009200
        0.0000004049        0.0000001501       -0.0042797700
        0.0000002100       -0.0000001401       -0.0000001050
        0.0000001450        0.0698438402        0.0000003099
        0.0017535949        0.0000001650        0.0000001749
        0.0000000699        0.0000003999       -0.0023372151
        0.0000004248        0.0000005149        0.0929568348
        0.0000013300       -0.0039497301        0.0000013800
        0.0000001899        0.0000005049        0.0000000149
        0.0350729901       -0.0000000601       -0.0325328952
       -0.0000000050        0.0000003099        0.0603055301
        0.0000003499        0.0077422550       -0.0000000449
       -0.0000000151        0.0400187150        0.0000009499
       -0.0000000901       -0.0000001101        0.0000013549
        0.0654620351        0.0000006250       -0.0382114901
        0.0000000499       -0.0546160949        0.0000000300
        0.0000016050       -0.0000000051        0.0000002449
        0.0000000099        0.0017535949        0.0000003499
        0.0533691602        0.0000002198        0.0000000099
       -0.0000000502        0.0000018899       -0.0373159652
        0.0000001748        0.0000002147        0.0187872298
        0.0000003750        0.0555725849        0.0000004599
       -0.0000000601        0.0000007350       -0.0000000252
       -0.0387505150       -0.0000000202       -0.0398030501
        0.0000001951        0.0000001650        0.0077422550
        0.0000002198        0.0555727701        0.0000002601
        0.0000000898       -0.0520556850        0.0000003799
        0.0000007898        0.0000009649        0.0000007799
        0.0710585250        0.0000011148        0.0232127550
        0.0000002200       -0.0120738049       -0.0000000050
        0.0000006700       -0.0000001100        0.0000001650
        0.0000003902        0.0000001749       -0.0000000449
        0.0000000099        0.0000002601        0.0668497199
        0.0000002501        0.0000002700        0.0000000350
        0.0950234599        0.0000021650        0.0000004950
        0.0000004502        0.0000017350        0.0000014201
        0.0441827150        0.0000001900        0.0000001000
        0.0000002152        0.0124283099        0.0000002450
        0.0239312598        0.0000000699       -0.0000000151
       -0.0000000502        0.0000000898        0.0000002501
        0.0762188603        0.0000002598        0.0000002548
        0.0000012497        0.0782464546        0.0000003348
        0.0000003300        0.0000011698        0.0000009749
        0.0000004648        0.0000004199        0.0462262348
        0.0000000750       -0.0000001702        0.0000001549
        0.0000002601        0.0000003999        0.0400187150
        0.0000018899       -0.0520556850        0.0000002700
        0.0000002598        0.2884055402        0.0000069899
        0.0000002947        0.0000004498        0.0000007098
       -0.0541571900        0.0000007299        0.0137819599
        0.0000001948       -0.1009330700        0.0000000499
        0.0000143550        0.0000000799        0.0000031898
        0.0000000249       -0.0023372151        0.0000009499
       -0.0373159652        0.0000003799        0.0000000350
        0.0000002548        0.0000069899        0.2067639002
        0.0000001498        0.0000001597       -0.0871970101
        0.0000017749       -0.0069953651        0.0000015399
        0.0000006548        0.0000030448        0.0000002200
        0.0720024150        0.0000000699       -0.0011512802
        0.0000011099        0.0000004248       -0.0000000901
        0.0000001748        0.0000007898        0.0950234599
        0.0000012497        0.0000002947        0.0000001498
        0.2589712204        0.0000096047        0.0000027248
        0.0000025499        0.0000080549        0.0000066298
        0.0916129098        0.0000011448        0.0000001199
       -0.0000001802        0.0255197898        0.0000002098
        0.0823343647        0.0000005149       -0.0000001101
        0.0000002147        0.0000009649        0.0000021650
        0.0782464546        0.0000004498        0.0000001597
        0.0000096047        0.2973177104        0.0000033748
        0.0000031649        0.0000100198        0.0000082299
        0.0000031997        0.0000013299        0.0181658498
       -0.0000000901        0.0000000749        0.0000001697
        0.0000003099        0.0929568348        0.0000013549
        0.0187872298        0.0000007799        0.0000004950
        0.0000003348        0.0000007098       -0.0871970101
        0.0000027248        0.0000033748        0.2920193103
        0.0000095000       -0.0038418851        0.0000093149
        0.0000007998        0.0000012899       -0.0000000450
        0.0364651000       -0.0000001002       -0.0008882452
        0.0000002851        0.0000013300        0.0654620351
        0.0000003750        0.0710585250        0.0000004502
        0.0000003300       -0.0541571900        0.0000017749
        0.0000025499        0.0000031649        0.0000095000
