    9   21
        0.0402121512       -0.0000031224       -0.0028659720
        0.0025417586       -0.0043519169       -0.0000014444
       -0.0000013908        0.0014407425        0.0264783495
       -0.0000003718       -0.0000024899        0.0527691972
        0.0148538285        0.0036486583       -0.0000001297
       -0.0000012447       -0.0260335477       -0.0000020823
       -0.0119933618       -0.0132797075       -0.0052047069
       -0.0000031224        0.0457048822       -0.0000016743
       -0.0000004800       -0.0000023900        0.0021177257
       -0.0187961487       -0.0000021629       -0.0000004377
       -0.0273024880       -0.0444883895       -0.0000005532
       -0.0000011427        0.0000011387       -0.0542529439
        0.0034094921       -0.0000006182       -0.0035807423
       -0.0000013652       -0.0000005454       -0.0000010111
       -0.0028659720       -0.0000016743        0.0616232293
       -0.0030065878       -0.0008333225       -0.0000008896
       -0.0000008505       -0.0182073290       -0.0043746833
       -0.0000012136       -0.0000025449       -0.0002412892
       -0.0432647883        0.0378555558       -0.0000008913
       -0.0000002548        0.0050435489       -0.0000016006
       -0.0503445560        0.0272378952       -0.0346652841
        0.0025417586       -0.0000004800       -0.0030065878
        0.0397695004        0.0013747598       -0.0000012500
       -0.0000001923        0.0332090937        0.0027154559
        0.0000001549       -0.0000008262       -0.0052906059
        0.0236410436        0.0437272861       -0.0000016512
       -0.0000012413       -0.0060791244       -0.0000013323
        0.0036876419        0.0154545232        0.0122273740
       -0.0043519169       -0.0000023900       -0.0008333225
        0.0013747598        0.0596610687       -0.0000015201
       -0.0000007930       -0.0196492384        0.0488692797
       -0.0000008743       -0.0000026989       -0.0664525774
        0.0306024745        0.0029726591       -0.0000000084
       -0.0000020999        0.0281189074       -0.0000019541
       -0.0261062661       -0.0227664204        0.0025636756
       -0.0000014444        0.0021177257       -0.0000008896
       -0.0000012500       -0.0000015201        0.0638793369
       -0.0429059435       -0.0000011521       -0.0000007252
       -0.0343326117        0.0800388526        0.0000000389
        0.0000014722        0.0000005980       -0.0152090975
        0.0067885536       -0.0000015164       -0.0365219175
       -0.0000006679       -0.0000004250       -0.0000010152
       -0.0000013908       -0.0187961487       -0.0000008505
       -0.0000001923       -0.0000007930       -0.0429059435
        0.0558347421        0.0000009541       -0.0000012930
        0.0597915583       -0.0397823307       -0.0000001987
        0.0000030107        0.0000009194        0.0598596294
       -0.0273538457        0.0000011957        0.0369550526
        0.0000009580        0.0000007289        0.0000000971
        0.0014407425       -0.0000021629       -0.0182073290
        0.0332090937       -0.0196492384       -0.0000011521
        0.0000009541        0.4628049155       -0.0683542899
       -0.0000015663       -0.0000020484       -0.0339990326
        0.0087960039       -0.0020768735       -0.0000006109
       -0.0000013436       -0.0164504807       -0.0000002241
       -0.0740447685       -0.0685066443        0.0693848423
        0.0264783495       -0.0000004377       -0.0043746833
        0.0027154559        0.0488692797       -0.0000007252
       -0.0000012930       -0.0683542899        0.2242780471
       -0.0000008644       -0.0000011038       -0.0114574455
       -0.0155240494       -0.0004496255        0.0000014887
       -0.0000004390       -0.0071607612       -0.0000007412
       -0.0276998800       -0.0478342764       -0.0230028800
       -0.0000003718       -0.0273024880       -0.0000012136
        0.0000001549       -0.0000008743       -0.0343326117
        0.0597915583       -0.0000015663       -0.0000008644
        0.0757207681       -0.0206393287       -0.0000001997
        0.0000046508       -0.0000007903        0.0783434021
       -0.0411289005       -0.0000005103        0.0364167184
        0.0000010895       -0.0000007147       -0.0000000044
       -0.0000024899       -0.0444883895       -0.0000025449
       -0.0000008262       -0.0000026989        0.0800388526
       -0.0397823307       -0.0000020484       -0.0000011038
       -0.0206393287        0.2634563634        0.0000046961
       -0.0000001683        0.0000134104        0.0561737937
        0.0299941993       -0.0000001823       -0.0404534912
       -0.0000011718       -0.0000005508       -0.0000012571
        0.0527691972       -0.0000005532       -0.0002412892
       -0.0052906059       -0.0664525774        0.0000000389
       -0.0000001987       -0.0339990326       -0.0114574455
       -0.0000001997        0.0000046961        0.2607291543
       -0.0213270191       -0.0035158973        0.0000024984
       -0.0000012953       -0.0872691922        0.0000005670
        0.0032141716        0.0036992388        0.0020339006
        0.0148538285       -0.0000011427       -0.0432647883
        0.0236410436        0.0306024745        0.0000014722
        0.0000030107        0.0087960039       -0.0155240494
        0.0000046508       -0.0000001683       -0.0213270191
        0.3032130013        0.0016099243        0.0000106951
       -0.0000006173       -0.0392718871        0.0000011313
       -0.0132666030        0.0372625790        0.0293507641
        0.0036486583        0.0000011387        0.0378555558
        0.0437272861        0.0029726591        0.0000005980
        0.0000009194       -0.0020768735       -0.0004496255
       -0.0000007903        0.0000134104       -0.0035158973
        0.0016099243        0.3331579703        0.0000057315
       -0.0000004357       -0.0081893776       -0.0000009091
        0.0237130580       -0.0077513374        0.0087811226
       -0.0000001297       -0.0542529439       -0.0000008913
       -0.0000016512       -0.0000000084       -0.0152090975
        0.0598596294       -0.0000006109        0.0000014887
        0.0783434021        0.0561737937        0.0000024984
        0.0000106951        0.0000057315        0.2313294308
        0.0033047020        0.0000011258        0.0046644249
       -0.0000000237       -0.0000002815        0.0000009847
       -0.0000012447        0.0034094921       -0.0000002548
       -0.0000012413       -0.0000020999        0.0067885536
       -0.0273538457       -0.0000013436       -0.0000004390
       -0.0411289005        0.0299941993       -0.0000012953
       -0.0000006173       -0.0000004357        0.0033047020
        0.0676923074       -0.0000016051       -0.0034556209
       -0.0000006348       -0.0000004493       -0.0000009943
       -0.0260335477       -0.0000006182        0.0050435489
       -0.0060791244        0.0281189074       -0.0000015164
        0.0000011957       -0.0164504807       -0.0071607612
       -0.0000005103       -0.0000001823       -0.0872691922
       -0.0392718871       -0.0081893776        0.0000011258
       -0.0000016051        0.1491731913       -0.0000013169
        0.0431857083        0.0098694930       -0.0278584541
       -0.0000020823       -0.0035807423       -0.0000016006
       -0.0000013323       -0.0000019541       -0.0365219175
        0.0369550526       -0.0000002241       -0.0000007412
        0.0364167184       -0.0404534912        0.0000005670
        0.0000011313       -0.0000009091        0.0046644249
       -0.0034556209       -0.0000013169        0.0679431827
       -0.0000016942        0.0000005858       -0.0000002026
       -0.0119933618       -0.0000013652       -0.0503445560
        0.0036876419       -0.0261062661       -0.0000006679
        0.0000009580       -0.0740447685       -0.0276998800
        0.0000010895       -0.0000011718        0.0032141716
       -0.0132666030        0.0237130580       -0.0000000237
       -0.0000006348        0.0431857083       -0.0000016942
        0.2495398311        0.0095307551        0.0461331730
       -0.0132797075       -0.0000005454        0.0272378952
        0.0154545232       -0.0227664204       -0.0000004250
        0.0000007289       -0.0685066443       -0.0478342764
       -0.0000007147       -0.0000005508        0.0036992388
        0.0372625790       -0.0077513374       -0.0000002815
       -0.0000004493        0.0098694930        0.0000005858
        0.0095307551        0.3356175310       -0.0185586894
       -0.0052047069       -0.0000010111       -0.0346652841
        0.0122273740        0.0025636756       -0.0000010152
        0.0000000971        0.0693848423       -0.0230028800
       -0.0000000044       -0.0000012571        0.0020339006
        0.0293507641        0.0087811226        0.0000009847
       -0.0000009943       -0.0278584541       -0.0000002026
        0.0461331730       -0.0185586894        0.1378533014
