    9   21
        0.3238660500        0.0143083399       -0.0002845348
        0.0043211099       -0.0009118301       -0.0000001950
        0.0062513999       -0.0000001400        0.0272167800
        0.0059748450        0.0345276300       -0.0031796399
        0.0000011698       -0.0008668451        0.0000000450
       -0.0167524252        0.0000013699        0.0336811250
        0.0000000801        0.0000007900       -0.0000000949
        0.0143083399        0.3576819603       -0.0055808751
        0.0011102699        0.0002048799       -0.0000000102
        0.0202472748       -0.0000005600        0.0453835999
        0.0459848748        0.0010808348        0.0130957498
       -0.0000002152       -0.0008956401       -0.0000000702
       -0.0255029752        0.0000029198       -0.0609314552
        0.0000009550        0.0000000449        0.0000009300
       -0.0002845348       -0.0055808751        0.5528817800
       -0.0003402400        0.0003976949        0.0000000250
       -0.0003151101        0.0000000752        0.0118235550
        0.0171437900        0.0000970600        0.0026170200
        0.0000001549       -0.0003105751        0.0000000050
        0.0015834650        0.0000002099        0.0049924400
       -0.0000001900        0.0000000350        0.0000001650
        0.0043211099        0.0011102699       -0.0003402400
        0.3747578401       -0.0010889751        0.0000248798
        0.0006070448        0.0000000000       -0.0008010801
        0.0006752100       -0.0130240200        0.0014644299
       -0.0000002902        0.0006573750       -0.0000002601
       -0.0013085902       -0.0000001502        0.0027652999
       -0.0000000649       -0.0000000351       -0.0000000350
       -0.0009118301        0.0002048799        0.0003976949
       -0.0010889751        0.3711850803        0.0000128297
        0.0007356647        0.0000000099        0.0132132247
        0.0006803299        0.0005700349        0.0170642299
       -0.0000001903       -0.0180345701       -0.0000009402
        0.0006559497       -0.0000000452       -0.0025720452
       -0.0000000800       -0.0000000502       -0.0000000300
       -0.0000001950       -0.0000000102        0.0000000250
        0.0000248798        0.0000128297        0.3724582302
        0.0000000297        0.0011640451       -0.0000004101
        0.0000000199       -0.0000003851       -0.0000001702
        0.0154932347       -0.0000009602        0.0169193298
       -0.0000000853       -0.0074193451       -0.0000000952
       -0.0039433350        0.0005865950       -0.0003348350
        0.0062513999        0.0202472748       -0.0003151101
        0.0006070448        0.0007356647        0.0000000297
        0.3562739303        0.0000369049       -0.0152818451
        0.0007587799        0.0024929548       -0.0018571451
       -0.0000001502        0.0002736797       -0.0000000200
        0.0187824648       -0.0000007051        0.0018347048
       -0.0000004151       -0.0000000452        0.0000000199
       -0.0000001400       -0.0000005600        0.0000000752
        0.0000000000        0.0000000099        0.0011640451
        0.0000369049        0.3484232801       -0.0000003701
       -0.0000001350       -0.0000000800       -0.0000000750
       -0.0067044500       -0.0000000801       -0.0001628300
       -0.0000016301        0.0181315100       -0.0000006851
        0.0083503600       -0.0003460951       -0.0015510601
        0.0272167800        0.0453835999        0.0118235550
       -0.0008010801        0.0132132247       -0.0000004101
       -0.0152818451       -0.0000003701        0.3183421302
        0.0322072999       -0.0014078802        0.0511137598
        0.0000029249       -0.0000302701        0.0000006699
       -0.0277202001        0.0000150298        0.0149418598
        0.0000033549        0.0000013299        0.0000010951
        0.0059748450        0.0459848748        0.0171437900
        0.0006752100        0.0006803299        0.0000000199
        0.0007587799       -0.0000001350        0.0322072999
        0.1845544801        0.0023593999        0.0074990550
       -0.0000001602        0.0006075949       -0.0000000151
        0.0035653299       -0.0000001651        0.0028039800
        0.0000002400        0.0000000749        0.0000000601
