    5    9
        0.0880250400        0.0025831605       -0.0010081067
        0.0000067735       -0.0739259463       -0.0009039309
       -0.0000087903        0.0011639941        0.0003215996
        0.0025831605        0.0880478774       -0.0010235681
       -0.0000002683       -0.0008902180        0.0765343339
       -0.0000246405        0.0011413272        0.0003127525
       -0.0010081067       -0.0010235681        0.0906173273
        0.0000197338       -0.0000080718       -0.0000363275
       -0.0752382152        0.0000117348       -0.0002537354
        0.0000067735       -0.0000002683        0.0000197338
        0.2332666054        0.0000168461        0.0000051523
        0.0000037539        0.0000023624        0.0000257046
       -0.0739259463       -0.0008902180       -0.0000080718
        0.0000168461        0.1407422087        0.0023806638
       -0.0011066936       -0.0029191642       -0.0013431873
       -0.0009039309        0.0765343339       -0.0000363275
        0.0000051523        0.0023806638        0.1407826903
       -0.0011147904       -0.0029336434       -0.0013596741
       -0.0000087903       -0.0000246405       -0.0752382152
        0.0000037539       -0.0011066936       -0.0011147904
        0.1431388773        0.0000060822       -0.0031574632
        0.0011639941        0.0011413272        0.0000117348
        0.0000023624       -0.0029191642       -0.0029336434
        0.0000060822        0.0785688917       -0.0000024102
        0.0003215996        0.0003127525       -0.0002537354
        0.0000257046       -0.0013431873       -0.0013596741
       -0.0031574632       -0.0000024102        0.0794956441
