    5    9
        0.0955403402        0.0000004434        0.0000014938
        0.0000033424       -0.0812578332       -0.0000001751
        0.0000017985        0.0000001046        0.0000002319
        0.0000004434        0.0955403402        0.0000014848
        0.0000033265       -0.0000002046        0.0812647204
        0.0000017985        0.0000001091        0.0000002274
        0.0000014938        0.0000014848        0.0955400310
        0.0000032992        0.0000017030        0.0000017576
        0.0812607277        0.0000006480       -0.0000000114
        0.0000033424        0.0000033265        0.0000032992
        0.2449291560        0.0000044611        0.0000045429
        0.0000045361        0.0000027376        0.0000020714
       -0.0812578332       -0.0000002046        0.0000017030
        0.0000044611        0.1539034884        0.0000009868
        0.0000020736        0.0000002842        0.0000015393
       -0.0000001751        0.0812647204        0.0000017576
        0.0000045429        0.0000009868        0.1539033883
        0.0000021191        0.0000003297        0.0000015848
        0.0000017985        0.0000017985        0.0812607277
        0.0000045361        0.0000020736        0.0000021191
        0.1539030018        0.0000026739       -0.0000002660
        0.0000001046        0.0000001091        0.0000006480
        0.0000027376        0.0000002842        0.0000003297
        0.0000026739        0.0825008192        0.0000015189
        0.0000002319        0.0000002274       -0.0000000114
        0.0000020714        0.0000015393        0.0000015848
       -0.0000002660        0.0000015189        0.0825007510
